NO,RUTE (PP)
96,Jakarta(CGK) - Medinah(MED)
97,Jakarta(CGK) - Penang(PEN)
98,Jakarta(CGK) - Subang(SZB)
99,Denpasar(DPS) - Adelaide(ADL)
100,Denpasar(DPS) - Bangkok-Don Mueang(DMK)
101,Istanbul(IST) - Denpasar(DPS)
102,Melbourne(MEL) - Denpasar(DPS)
103,Penang(PEN) - Medan(KNO)
104,SINGAPURA(SIN) - Denpasar(DPS)
105,Surabaya(SUB) - Hongkong(HKG)
106,Taipei(TPE) - Denpasar(DPS)
107,Jakarta(CGK) - BANDAR SRI BEGAWAN(BWN)
108,Jakarta(CGK) - Dubai(DXB)
109,Jakarta(CGK) - Jeddah(JED)
110,Jakarta(CGK) - Melbourne(MEL)
111,Jakarta(CGK) - Perth(PER)
112,Denpasar(DPS) - Doha(DOH)
113,KUCHING(KCH) - Balikpapan(BPN)
114,Kuala Lumpur(KUL) - Medan(KNO)
115,Manila(MNL) - Denpasar(DPS)
116,Perth(PER) - Denpasar(DPS)
117,Makassar(UPG) - Jeddah(JED)
118,Jakarta(CGK) - Fuzhou(FOC)
119,Jakarta(CGK) - Johor Baru(JHB)
120,Denpasar(DPS) - Bangkok(BKK)
121,"Praya, Lombok(LOP) - Kuala Lumpur(KUL)"
122,Pekanbaru(PKU) - Kuala Lumpur(KUL)
123,SINGAPURA(SIN) - Medan(KNO)
124,Surabaya(SUB) - Kuala Lumpur(KUL)
125,Makassar(UPG) - Kuala Lumpur(KUL)
