NO,RUTE (ASAL),RUTE (TUJUAN)
222,Makassar (UPG),Manokwari (MKW)
223,Makassar (UPG),Muna (RAQ)
224,Waingapu (WGP),Denpasar (DPS)
225,Yogyakarta (YIA),Balikpapan (BPN)
226,Batulicin (BTW),Banjarmasin (BDJ)
227,Jakarta (CGK),Batam (BTH)
228,Jakarta (CGK),Sibolga (FLZ)
229,Jakarta (CGK),Labuhan Bajo (LBJ)
230,Jakarta (CGK),Pangkal Pinang (PGK)
231,Jakarta (CGK),Solo (SOC)
232,Jakarta (CGK),Tarakan (TRK)
233,Jayapura (DJJ),Yahukimo (DEX)
234,Denpasar (DPS),Balikpapan (BPN)
235,Jakarta-HLP (HLP),Bandung (BDO)
236,Jakarta-HLP (HLP),Siborong-borong (DTB)
237,Yogyakarta (JOG),Jakarta-HLP (HLP)
238,Medan (KNO),Jakarta-HLP (HLP)
239,Kupang (KOE),Jakarta-HLP (HLP)
240,Malinau (LNU),Balikpapan (BPN)
241,Langgur (LUV),Ambon (AMQ)
242,Manado (MDC),Kao (KAZ)
243,Manokwari (MKW),Fak-fak (FKQ)
244,Maumere (MOF),Labuhan Bajo (LBJ)
245,Padang Pariaman (PDG),Jambi (DJB)
246,Pekanbaru (PKU),Majalengka (KJT)
247,Palembang (PLM),Bungo (BUU)
248,Palembang (PLM),Pangkal Pinang (PGK)
249,Pontianak (PNK),Batam (BTH)
250,Rote (RTI),Kupang (KOE)
251,Solo (SOC),Banjarmasin (BDJ)
252,Sorong (SOQ),Nabire (NBX)
253,Semarang (SRG),Denpasar (DPS)
254,Surabaya (SUB),Samarinda (AAP)
255,Surabaya (SUB),Denpasar (DPS)
256,Surabaya (SUB),Labuhan Bajo (LBJ)
257,Surabaya (SUB),Palu (PLW)
258,Saumlaki (SXK),Ambon (AMQ)
259,Tanjung Pandan (TJQ),Jakarta-HLP (HLP)
260,Bandar Lampung (TKG),Jakarta-HLP (HLP)
261,Tanah Merah (TMH),Jayapura (DJJ)
262,Tarakan (TRK),Nunukan (NNX)
263,Ternate (TTE),Maba (PGQ)
264,Makassar (UPG),Gorontalo (GTO)
265,Makassar (UPG),Maumere (MOF)
266,Makassar (UPG),Sorong (SOQ)
267,Waingapu (WGP),Kupang (KOE)
268,Yogyakarta (YIA),Batam (BTH)
269,Yogyakarta (YIA),Palangkaraya (PKY)
270,Banyuwangi (BWX),Bandung (BDO)
271,Jakarta (CGK),Banda Aceh (BTJ)
272,Jakarta (CGK),Gunung Sitoli (GNS)
273,Jakarta (CGK),Lubuk Linggau (LLJ)
274,Jakarta (CGK),Pangkalan Bun (PKN)
275,Jakarta (CGK),Sorong (SOQ)
276,Jakarta (CGK),Ternate (TTE)
277,Dobo (DOB),Ambon (AMQ)
278,Denpasar (DPS),Banyuwangi (BWX)
279,Jakarta-HLP (HLP),Bengkulu (BKS)
280,Kotabaru (KBU),Banjarmasin (BDJ)
281,Medan (KNO),Batam (BTH)
282,Medan (KNO),Yogyakarta (JOG)
283,Kerinci (KRC),Bungo (BUU)
284,"Praya, Lombok (LOP)",Bima (BMU)
285,Langgur (LUV),Dobo (DOB)
286,Manado (MDC),Luwuk (LUW)
287,Manokwari (MKW),Kaimana (KNG)
288,Matak (MWK),Batam (BTH)
289,Bintuni (NTI),Manokwari (MKW)
290,Padang Pariaman (PDG),Gunung Sitoli (GNS)
291,Pekanbaru (PKU),Medan (KNO)
292,Palembang (PLM),Jambi (DJB)
293,Palembang (PLM),Pekanbaru (PKU)
294,Pontianak (PNK),Yogyakarta (JOG)
295,Solo (SOC),Bandung (BDO)
296,Sorong (SOQ),Ambon (AMQ)
297,Sorong (SOQ),Bintuni (NTI)
298,Semarang (SRG),Jakarta-HLP (HLP)
299,Surabaya (SUB),Ambon (AMQ)
300,Surabaya (SUB),Jakarta-HLP (HLP)
301,Surabaya (SUB),"Praya, Lombok (LOP)"
302,Surabaya (SUB),Pontianak (PNK)
303,Timika (TIM),Jayapura (DJJ)
304,Tanjung Pandan (TJQ),Pangkal Pinang (PGK)
305,Bandar Lampung (TKG),Yogyakarta (JOG)
306,Tanah Merah (TMH),Merauke (MKQ)
307,Tarakan (TRK),Surabaya (SUB)
308,Makassar (UPG),Biak (BIK)
309,Makassar (UPG),Jakarta-HLP (HLP)
310,Makassar (UPG),Palopo (Bua) (LLO)
311,Makassar (UPG),Morowali (MOH)
312,Makassar (UPG),Semarang (SRG)
313,Wamena (WMX),Yahukimo (DEX)
314,Yogyakarta (YIA),Palembang (PLM)
315,Tanjung Redeb (BEJ),Samarinda (AAP)
316,Jakarta (CGK),Samarinda (AAP)
317,Jakarta (CGK),Bungo (BUU)
318,Jakarta (CGK),Gorontalo (GTO)
319,Jakarta (CGK),"Praya, Lombok (LOP)"
320,Jakarta (CGK),Pekanbaru (PKU)
321,Jakarta (CGK),Semarang (SRG)
322,Jakarta (CGK),Makassar (UPG)
323,Denpasar (DPS),Samarinda (AAP)
324,Siborong-borong (DTB),Batam (BTH)
325,Jakarta-HLP (HLP),Balikpapan (BPN)
326,Yogyakarta (JOG),Samarinda (AAP)
327,Kendari (KDI),Bau Bau (BUW)
328,Medan (KNO),Banda Aceh (BTJ)
329,Medan (KNO),Majalengka (KJT)
330,Labuhan Bajo (LBJ),Bajawa (BJW)
331,"Praya, Lombok (LOP)",Denpasar (DPS)
332,Meulaboh (MEQ),Medan (KNO)
333,Malang (MLG),Denpasar (DPS)
334,Tahuna (NAH),Manado (MDC)
335,NATUNA (NTX),Batam (BTH)
336,Padang Pariaman (PDG),Jakarta-HLP (HLP)
337,Pekanbaru (PKU),Padang Pariaman (PDG)
338,Palembang (PLM),Denpasar (DPS)
339,Palu (PLW),Balikpapan (BPN)
340,Pontianak (PNK),Majalengka (KJT)
341,Singkep (SIQ),Batam (BTH)
342,Sorong (SOQ),Teluk Bintoni (BXB)
343,Sintang (SQG),Pontianak (PNK)
344,Semarang (SRG),Ketapang (KTG)
345,Surabaya (SUB),Banjarmasin (BDJ)
346,Surabaya (SUB),Jember (JBB)
347,Surabaya (SUB),Manado (MDC)
348,Surabaya (SUB),Sampit (SMQ)
349,Timika (TIM),Denpasar (DPS)
350,Tanjung Selor (TJS),Samarinda (AAP)
351,Bandar Lampung (TKG),Palembang (PLM)
352,Tanjung Pinang (TNJ),Batam (BTH)
353,Tarakan (TRK),Tanjung Selor (TJS)
354,Makassar (UPG),Bima (BMU)
355,Makassar (UPG),Yogyakarta (JOG)
356,Makassar (UPG),"Praya, Lombok (LOP)"
357,Makassar (UPG),Surabaya (SUB)
