NO,RUTE (ASAL),RUTE (TUJUAN)
229,Sorong (SOQ),Manokwari (MKW)
230,Semarang (SRG),Batam (BTH)
231,Surabaya (SUB),Ambon (AMQ)
232,Surabaya (SUB),Denpasar (DPS)
233,Surabaya (SUB),"Praya, Lombok (LOP)"
234,Surabaya (SUB),Pontianak (PNK)
235,Tanjung Pandan (TJQ),Pangkal Pinang (PGK)
236,Bandar Lampung (TKG),Peakon Serai (TFY)
237,Tanjung Pinang (TNJ),Pekanbaru (PKU)
238,Tasikmalaya (TSY),Jakarta-HLP (HLP)
239,Ternate (TTE),Surabaya (SUB)
240,Makassar (UPG),Bima (BMU)
241,Makassar (UPG),Luwuk (LUW)
242,Makassar (UPG),Palu (PLW)
243,Makassar (UPG),Tarakan (TRK)
244,Wangi-Wangi (WNI),Kendari (KDI)
245,Yogyakarta (YIA),Medan (KNO)
246,Yogyakarta (YIA),Tarakan (TRK)
247,Banjarmasin (BDJ),Samarinda (AAP)
248,Jakarta (CGK),Banda Aceh (BTJ)
249,Jakarta (CGK),Gunung Sitoli (GNS)
250,Jakarta (CGK),Manado (MDC)
251,Jakarta (CGK),Palembang (PLM)
252,Jakarta (CGK),Timika (TIM)
253,Jambi (DJB),Batam (BTH)
254,Denpasar (DPS),Bima (BMU)
255,Jakarta-HLP (HLP),Ambon (AMQ)
256,Kotabaru (KBU),Banjarmasin (BDJ)
257,Medan (KNO),Batam (BTH)
258,Medan (KNO),Majalengka (KJT)
259,Labuhan Bajo (LBJ),Bajawa (BJW)
260,"Praya, Lombok (LOP)",Denpasar (DPS)
261,Manado (MDC),Ambon (AMQ)
262,Merauke (MKQ),Jayapura (DJJ)
263,Melangguane (MNA),KEP.TALAUD (IAX)
264,Nabire (NBX),Ambon (AMQ)
265,Padang Pariaman (PDG),Bengkulu (BKS)
266,Pangkalan Bun (PKN),Banjarmasin (BDJ)
267,Pekanbaru (PKU),Medan (KNO)
268,Palembang (PLM),Jakarta-HLP (HLP)
269,Palu (PLW),Luwuk (LUW)
270,Solo (SOC),Banjarmasin (BDJ)
271,Sorong (SOQ),Nabire (NBX)
272,Semarang (SRG),Denpasar (DPS)
273,Surabaya (SUB),Banjarmasin (BDJ)
274,Surabaya (SUB),Jakarta-HLP (HLP)
275,Surabaya (SUB),Manado (MDC)
276,Timika (TIM),Denpasar (DPS)
277,Tanjung Selor (TJS),Balikpapan (BPN)
278,Toli-toli (TLI),Palu (PLW)
279,Tarakan (TRK),Balikpapan (BPN)
280,Ternate (TTE),Ambon (AMQ)
281,TAKENGON (TXE),Medan (KNO)
282,Makassar (UPG),Balikpapan (BPN)
283,Makassar (UPG),Kendari (KDI)
284,Makassar (UPG),Manado (MDC)
285,Makassar (UPG),Pontianak (PNK)
286,Makassar (UPG),Toraja (TRT)
287,Yogyakarta (YIA),Samarinda (AAP)
288,Yogyakarta (YIA),"Praya, Lombok (LOP)"
289,Yogyakarta (YIA),Makassar (UPG)
290,Bandung (BDO),Banjarmasin (BDJ)
291,Jakarta (CGK),Samarinda (AAP)
292,Jakarta (CGK),Bungo (BUU)
293,Jakarta (CGK),Gorontalo (GTO)
294,Jakarta (CGK),Manokwari (MKW)
295,Jakarta (CGK),Palu (PLW)
296,Jakarta (CGK),Tanjung Pandan (TJQ)
297,Jambi (DJB),Bungo (BUU)
298,Denpasar (DPS),Balikpapan (BPN)
299,Jakarta-HLP (HLP),Bandung (BDO)
300,Jakarta-HLP (HLP),Denpasar (DPS)
301,Kendari (KDI),Bau Bau (BUW)
302,Medan (KNO),Banda Aceh (BTJ)
303,Kupang (KOE),Atambua (ABU)
304,Labuhan Bajo (LBJ),Denpasar (DPS)
305,"Praya, Lombok (LOP)",Jakarta-HLP (HLP)
306,Manado (MDC),Balikpapan (BPN)
307,Melangguane (MNA),Manado (MDC)
308,Nabire (NBX),Biak (BIK)
309,Padang Pariaman (PDG),Balikpapan (BPN)
310,Pekanbaru (PKU),Padang Pariaman (PDG)
311,Palembang (PLM),Medan (KNO)
312,Palu (PLW),Morowali (MOH)
313,Ruteng (RTG),Kupang (KOE)
314,Solo (SOC),Bandung (BDO)
315,Sorong (SOQ),Ambon (AMQ)
316,Sorong (SOQ),Bintuni (NTI)
317,Semarang (SRG),Jakarta-HLP (HLP)
318,Surabaya (SUB),Bandung (BDO)
319,Surabaya (SUB),Jember (JBB)
320,Surabaya (SUB),Padang Pariaman (PDG)
321,Surabaya (SUB),Sampit (SMQ)
322,Bandar Lampung (TKG),Bandung (BDO)
323,Tambolaka (TMC),Denpasar (DPS)
324,Buol (UOL),Palu (PLW)
325,Makassar (UPG),Batulicin (BTW)
326,Makassar (UPG),Majalengka (KJT)
327,Makassar (UPG),Mamuju (MJU)
328,Makassar (UPG),Poso (PSJ)
329,Makassar (UPG),Ternate (TTE)
330,Yogyakarta (YIA),Banjarmasin (BDJ)
331,Yogyakarta (YIA),Padang Pariaman (PDG)
332,Serui (ZRI),Jayapura (DJJ)
333,Tanjung Redeb (BEJ),Samarinda (AAP)
334,Jakarta (CGK),Ambon (AMQ)
335,Jakarta (CGK),Banyuwangi (BWX)
336,Jakarta (CGK),Kendari (KDI)
337,Jakarta (CGK),Malang (MLG)
338,Jakarta (CGK),Pontianak (PNK)
339,Jakarta (CGK),Bandar Lampung (TKG)
340,Jayapura (DJJ),Biak (BIK)
341,Denpasar (DPS),Banyuwangi (BWX)
342,Jakarta-HLP (HLP),Bengkulu (BKS)
343,Jakarta-HLP (HLP),Siborong-borong (DTB)
344,Majalengka (KJT),Banjarmasin (BDJ)
345,Medan (KNO),Jambi (DJB)
346,Kupang (KOE),Alor (ARD)
347,Labuhan Bajo (LBJ),Ende (ENE)
348,"Praya, Lombok (LOP)",Majalengka (KJT)
349,Manado (MDC),Denpasar (DPS)
350,Merauke (MKQ),Mappi (KEI)
351,Maumere (MOF),Denpasar (DPS)
352,Nabire (NBX),Jayapura (DJJ)
353,Padang Pariaman (PDG),Batam (BTH)
354,Pekanbaru (PKU),Bandung (BDO)
355,Palangkaraya (PKY),Balikpapan (BPN)
356,Palembang (PLM),Lubuk Linggau (LLJ)
357,Pontianak (PNK),Balikpapan (BPN)
358,Rote (RTI),Kupang (KOE)
359,Solo (SOC),Balikpapan (BPN)
360,Sorong (SOQ),Teluk Bintoni (BXB)
361,Sintang (SQG),Pontianak (PNK)
362,Semarang (SRG),Ketapang (KTG)
363,Surabaya (SUB),Yogyakarta (JOG)
364,Surabaya (SUB),Pangkalan Bun (PKN)
365,Surabaya (SUB),Sorong (SOQ)
366,Timika (TIM),Langgur (LUV)
367,Bandar Lampung (TKG),Bengkulu (BKS)
368,Tambolaka (TMC),Ende (ENE)
369,Tarakan (TRK),Malinau (LNU)
370,Ternate (TTE),Labuha (LAH)
371,Makassar (UPG),Samarinda (AAP)
372,Makassar (UPG),Bau Bau (BUW)
373,Makassar (UPG),Kupang (KOE)
374,Makassar (UPG),Merauke (MKQ)
375,Makassar (UPG),Muna (RAQ)
376,Waingapu (WGP),Denpasar (DPS)
377,Yogyakarta (YIA),Balikpapan (BPN)
378,Yogyakarta (YIA),Pekanbaru (PKU)
