NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
41,Surabaya (SUB) - Samarinda (AAP),1633.0,219224.0,290371.0,881743.0,1271.0,"75,5%"
42,Makassar (UPG) - Timika (TIM),1956.0,217150.0,342904.0,1717573.0,55514.0,"63,3%"
43,Makassar (UPG) - Palu (PLW),1763.0,213444.0,314130.0,2158437.0,45159.0,"67,9%"
44,Makassar (UPG) - Ternate (TTE),1763.0,213288.0,288870.0,1893708.0,149812.0,"73,8%"
45,Sorong (SOQ) - Manokwari (MKW),2029.0,212518.0,287193.0,2155882.0,38930.0,"74,0%"
46,Surabaya (SUB) - Jakarta-HLP (HLP),1614.0,211164.0,258308.0,235419.0,2272.0,"81,7%"
47,Jakarta (CGK) - Palangkaraya (PKY),2083.0,208413.0,344691.0,4346008.0,90948.0,"60,5%"
48,Jakarta (CGK) - Tanjung Pandan (TJQ),1951.0,197320.0,314998.0,3053541.0,597.0,"62,6%"
49,Balikpapan (BPN) - Tanjung Redeb (BEJ),2077.0,193074.0,250614.0,1136324.0,1382.0,"77,0%"
50,Yogyakarta (YIA) - Makassar (UPG),1474.0,189313.0,289482.0,1031927.0,632.0,"65,4%"
51,Padang Pariaman (PDG) - Batam (BTH),1440.0,181097.0,257455.0,387470.0,590.0,"70,3%"
52,Jakarta (CGK) - Samarinda (AAP),1545.0,179641.0,246410.0,2108827.0,25639.0,"72,9%"
53,Makassar (UPG) - Gorontalo (GTO),1600.0,176285.0,281554.0,1629854.0,19365.0,"62,6%"
54,Medan (KNO) - Gunung Sitoli (GNS),3292.0,171725.0,243284.0,556520.0,63717.0,"70,6%"
55,Medan (KNO) - Banda Aceh (BTJ),1822.0,157013.0,268477.0,769828.0,2326.0,"58,5%"
56,Surabaya (SUB) - Palangkaraya (PKY),1260.0,153699.0,239751.0,1525059.0,6509.0,"64,1%"
57,Denpasar (DPS) - Bandung (BDO),1358.0,153139.0,236240.0,564934.0,1250.0,"64,8%"
58,Palembang (PLM) - Jakarta-HLP (HLP),1344.0,148544.0,211940.0,247340.0,4936.0,"70,1%"
59,Jakarta (CGK) - Banda Aceh (BTJ),1427.0,145890.0,283248.0,5233508.0,45083.0,"51,5%"
60,Jakarta (CGK) - Kendari (KDI),1407.0,144906.0,227887.0,1560388.0,29764.0,"63,6%"
61,Labuhan Bajo (LBJ) - Denpasar (DPS),1908.0,143608.0,228586.0,413638.0,23431.0,"62,8%"
62,"Praya, Lombok (LOP) - Denpasar (DPS)",2222.0,143433.0,221779.0,50590.0,2693.0,"64,7%"
63,Jakarta (CGK) - Kupang (KOE),1282.0,141882.0,206558.0,2467341.0,89933.0,"68,7%"
64,Semarang (SRG) - Banjarmasin (BDJ),1111.0,137789.0,199414.0,657803.0,378.0,"69,1%"
65,Makassar (UPG) - Manokwari (MKW),1051.0,134986.0,196395.0,854141.0,2138.0,"68,7%"
66,Jakarta-HLP (HLP) - Denpasar (DPS),1091.0,130535.0,176392.0,171862.0,,"74,0%"
