NO,RUTE ( PP),Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,TOTAL 2022
153.0,TJS-BPN,3.213,2.712,3.597,3.324,3.482,3.681,3.258,2.371,2.398,2.883,2.946,2.332,36.197
154.0,TIM-NBX,2.784,2.009,3.097,3.564,3.367,3.064,2.985,3.185,2.777,3.13,3.175,3.019,36.156
155.0,CGK-SMQ,1.853,1.736,2.85,2.69,2.763,4.63,3.918,3.662,3.648,2.03,2.143,3.814,35.737
156.0,OKL-DJJ,2.819,2.237,2.6,3.079,2.955,3.532,3.36,3.466,2.638,3.097,2.148,3.155,35.086
157.0,KBU-BDJ,3.755,2.747,1.822,3.011,3.764,3.33,3.38,1.888,2.297,3.204,2.956,2.71,34.864
158.0,SXK-AMQ,2.813,2.386,4.368,2.902,2.77,2.755,2.694,2.066,2.504,2.991,3.311,3.039,34.599
159.0,TTE-AMQ,1.686,2.585,3.403,3.441,4.029,2.635,3.226,2.718,2.676,2.525,2.422,3.228,34.574
160.0,UPG-BDO,7.31,5.776,6.768,1.433,7.297,5.041,823.0,,,,,,34.448
161.0,JOG-BDO,2.638,2.249,3.274,1.458,2.831,2.58,2.642,2.57,2.454,2.664,2.795,2.678,30.833
162.0,LKA-KOE,2.045,1.842,2.935,2.872,3.251,3.239,3.846,2.125,1.812,1.614,2.14,2.371,30.092
163.0,UPG-KBU,3.524,2.513,1.813,2.327,3.052,1.92,2.444,1.793,2.056,2.615,2.482,2.389,28.928
164.0,NAM-AMQ,2.831,2.888,3.376,2.888,2.694,2.64,3.034,1.855,1.654,1.412,1.649,1.86,28.781
165.0,LSW-KNO,2.018,1.671,2.348,1.583,1.758,2.096,2.506,2.683,2.799,2.8,3.305,2.763,28.33
166.0,PKU-HLP,5.264,,,,,,,,,7.19,7.387,7.871,27.712
167.0,SOQ-AMQ,3.601,2.709,3.019,2.263,2.861,2.078,2.349,1.466,1.441,1.554,1.832,2.473,27.646
168.0,SOQ-KNG,2.351,1.972,2.179,2.5,2.264,2.239,1.913,2.386,1.769,1.932,2.579,2.0,26.084
169.0,UPG-MOF,2.902,1.424,3.354,2.438,2.345,2.98,2.575,1.46,1.383,1.468,1.27,1.389,24.988
170.0,SUB-SOQ,7.187,5.144,2.182,3.133,3.389,3.44,,,,,,,24.475
171.0,DJB-BTH,1.507,1.251,1.903,2.155,3.292,2.992,2.769,2.871,1.437,1.411,1.353,1.515,24.456
172.0,CGK-BUU,2.623,1.409,1.719,2.01,2.097,1.774,2.449,2.163,1.795,1.343,2.07,2.444,23.896
173.0,NBX-MKW,2.109,2.212,1.672,1.717,2.006,2.754,2.731,1.784,1.553,1.209,921.0,2.686,23.354
174.0,BTW-BDJ,1.767,2.192,2.745,1.996,1.571,1.732,1.585,1.54,1.496,1.638,1.669,1.702,21.633
175.0,SOQ-BXB,251.0,171.0,285.0,516.0,441.0,678.0,1.048,1.346,3.378,8.141,2.687,2.248,21.19
176.0,LWE-KOE,1.592,1.357,1.949,1.965,1.541,1.408,1.461,1.592,2.037,2.15,1.775,1.536,20.363
177.0,UPG-LLO,2.055,1.481,1.607,1.67,2.044,1.622,1.425,1.594,1.501,1.582,1.658,1.775,20.014
178.0,TMH-DJJ,1.611,1.161,1.11,1.599,1.599,1.781,1.748,1.677,1.681,1.683,1.698,2.503,19.851
179.0,HMS-BDJ,1.553,1.227,1.471,1.67,1.47,1.739,1.673,1.827,1.646,1.71,1.773,1.782,19.541
180.0,TTE-LAH,1.569,1.063,1.6,1.457,1.379,1.714,1.561,1.11,1.435,1.749,1.801,2.412,18.85
181.0,RTI-KOE,3.417,2.942,2.897,2.274,2.539,3.058,1.637,,,,,,18.764
182.0,UPG-HLP,4.302,,,,,,,,,3.205,5.905,5.344,18.756
183.0,PLW-MOH,2.109,1.983,1.803,1.4,2.066,1.413,1.684,1.168,1.149,1.116,970.0,1.414,18.275
184.0,PSU-PNK,2.214,1.732,1.843,1.732,1.394,1.821,1.183,1.078,942.0,1.427,1.305,1.507,18.178
185.0,UPG-TRT,1.709,1.085,1.429,1.317,1.545,2.027,2.145,1.466,1.276,1.365,1.219,1.45,18.033
186.0,LNU-BPN,881.0,1.154,1.803,1.587,1.712,1.941,1.729,1.437,1.46,1.333,1.527,1.381,17.945
187.0,SOC-PNK,998.0,1.111,1.9,2.352,1.809,1.385,1.948,1.519,1.121,793.0,1.227,1.755,17.918
188.0,YIA-BTH,,,,,,,,,,1.111,7.163,8.796,17.07
189.0,KOE-ABU,1.352,1.018,1.759,1.84,1.603,1.544,1.262,1.544,1.21,1.167,1.121,1.027,16.447
190.0,HLP-AAP,,,,,,,,,,5.725,5.117,5.505,16.347
191.0,SUB-BDO,4.539,2.872,2.855,2.039,1.397,1.954,397.0,,,62.0,6.0,,16.121
192.0,TIM-EWE,1.347,1.319,1.403,1.423,1.397,1.648,1.627,1.403,1.403,1.56,253.0,1.317,16.1
193.0,PKY-BPN,971.0,1.162,1.301,1.308,2.391,1.351,1.36,1.204,883.0,1.04,1.025,1.291,15.287
194.0,YIA-LOP,,,,,,,,,,880.0,6.843,7.558,15.281
195.0,TKG-HLP,3.457,,,,,,,,,1.254,5.077,5.04,14.828
196.0,HLP-DTB,7.5,,,,,,,,,,,7.175,14.675
197.0,PLW-LUW,1.9,1.457,1.875,1.523,1.467,1.751,1.17,653.0,466.0,921.0,833.0,556.0,14.572
198.0,UPG-BTW,1.506,1.452,2.261,1.305,1.319,1.012,1.083,1.017,832.0,752.0,795.0,1.176,14.51
199.0,LMU-BTH,1.249,1.001,1.378,1.284,954.0,921.0,1.182,1.222,1.279,1.099,1.263,1.43,14.262
200.0,SQG-PNK,1.289,1.051,1.241,1.198,1.249,1.433,1.213,997.0,811.0,909.0,1.078,1.129,13.598
201.0,MEQ-KNO,950.0,1.155,1.631,1.021,1.081,1.192,1.055,925.0,830.0,1.186,1.303,1.184,13.513
202.0,CGK-TIM,6.428,2.365,,2.49,1.228,,188.0,,,,,802.0,13.501
203.0,SRG-DPS,2.971,1.684,1.863,1.257,2.584,576.0,591.0,233.0,489.0,256.0,299.0,642.0,13.445
204.0,SRG-BTH,,,,,,,,,,791.0,5.302,7.003,13.096
205.0,SRG-KTG,1.455,606.0,318.0,1.791,2.131,1.546,1.315,554.0,716.0,723.0,719.0,878.0,12.752
206.0,TTE-OTI,1.292,1.194,1.631,1.311,1.399,1.009,593.0,964.0,735.0,796.0,875.0,919.0,12.718
207.0,WNI-KDI,2.128,1.53,2.37,1.517,2.227,2.456,366.0,,,,,,12.594
208.0,LBJ-BJW,,,,,1.187,2.156,196.0,1.545,1.887,1.782,1.84,1.977,12.57
209.0,LUV-DOB,1.066,835.0,1.486,1.214,795.0,1.016,847.0,817.0,908.0,907.0,1.023,1.164,12.078
210.0,HLP-BKS,,,,,,,,,,579.0,5.395,5.841,11.815
211.0,MDC-LUW,1.769,1.285,1.473,1.251,1.248,1.311,975.0,538.0,289.0,495.0,640.0,449.0,11.723
212.0,UPG-RAQ,1.229,1.268,1.342,1.19,1.863,1.015,956.0,675.0,389.0,664.0,374.0,512.0,11.477
213.0,PLM-BDO,2.22,2.38,2.984,991.0,1.996,561.0,239.0,,,6.0,,,11.377
214.0,JIO-AMQ,656.0,567.0,870.0,796.0,740.0,1.175,1.236,1.073,1.019,912.0,1.037,957.0,11.038
215.0,DOB-AMQ,874.0,814.0,1.228,940.0,877.0,895.0,743.0,734.0,840.0,861.0,1.071,993.0,10.87
216.0,NAH-MDC,1.089,616.0,1.292,1.094,1.077,1.303,1.057,412.0,593.0,783.0,663.0,807.0,10.786
217.0,RTG-KOE,868.0,,1.095,1.33,1.411,1.811,1.729,,,154.0,1.087,1.11,10.595
218.0,ZRI-DJJ,796.0,772.0,222.0,886.0,776.0,966.0,1.046,927.0,999.0,1.004,1.02,1.019,10.433
219.0,KDI-BUW,1.613,1.358,2.348,1.393,1.948,1.431,152.0,,,,,,10.243
220.0,UPG-BMU,231.0,946.0,1.603,823.0,1.386,1.253,1.252,518.0,592.0,577.0,502.0,402.0,10.085
221.0,YIA-AAP,,,,,,,,,,2.648,3.171,4.255,10.074
222.0,MDC-KAZ,1.158,716.0,772.0,790.0,773.0,959.0,972.0,631.0,593.0,673.0,630.0,979.0,9.646
223.0,SRG-PNK,425.0,2.987,3.259,1.048,1.388,22.0,,2.0,,,,,9.131
224.0,SNB-KNO,867.0,649.0,876.0,525.0,1.62,1.098,756.0,783.0,801.0,923.0,,,8.898
225.0,PLW-BPN,2.378,1.424,130.0,1.49,2.277,477.0,,,,145.0,,467.0,8.788
226.0,NRE-AMQ,212.0,355.0,518.0,558.0,576.0,837.0,939.0,1.021,804.0,861.0,851.0,754.0,8.286
227.0,NAH-MNA,887.0,583.0,988.0,924.0,1.0,972.0,744.0,234.0,339.0,554.0,398.0,581.0,8.204
228.0,MDC-GTO,762.0,409.0,1.362,975.0,1.084,1.095,878.0,735.0,244.0,,,158.0,7.702
229.0,PGK-BTH,1.341,1.042,1.356,907.0,976.0,934.0,1.036,57.0,,,,,7.649
230.0,JOG-DPS,5.43,1.686,,,,,,,,,,,7.116
231.0,UPG-LOP,,,2.311,919.0,2.357,639.0,734.0,30.0,,,,26.0,7.016
232.0,MKQ-KEI,495.0,458.0,327.0,538.0,418.0,38.0,554.0,501.0,533.0,694.0,904.0,714.0,6.174
233.0,TKG-BTH,1.064,660.0,1.388,841.0,1.337,368.0,417.0,38.0,,,,,6.113
234.0,TLI-PLW,832.0,1.021,990.0,577.0,688.0,440.0,357.0,285.0,120.0,244.0,221.0,219.0,5.994
235.0,TXE-KNO,411.0,719.0,1.133,587.0,639.0,671.0,492.0,71.0,,265.0,297.0,166.0,5.451
236.0,MKW-FKQ,,,,,,825.0,636.0,189.0,504.0,516.0,425.0,1.376,4.471
237.0,UPG-KSR,686.0,464.0,816.0,987.0,1.023,334.0,,,,,124.0,,4.434
238.0,MKW-KNG,,,,,,761.0,729.0,188.0,497.0,498.0,458.0,1.229,4.36
239.0,UPG-BDJ,,,436.0,,,,,394.0,1.656,1.625,213.0,,4.324
240.0,TMH-MKQ,,,,82.0,452.0,593.0,506.0,495.0,432.0,606.0,507.0,641.0,4.314
241.0,PLM-PKU,1.242,674.0,873.0,346.0,647.0,,268.0,,,,,,4.05
242.0,KNO-DPS,,,,,,,2.326,938.0,583.0,,,,3.847
243.0,KNO-DJB,858.0,560.0,797.0,197.0,95.0,,49.0,502.0,438.0,,129.0,,3.625
244.0,PLM-KNO,,,,,,,,1.161,662.0,922.0,213.0,,2.958
245.0,TRK-LNU,335.0,218.0,107.0,224.0,146.0,,144.0,198.0,236.0,227.0,320.0,335.0,2.49
246.0,MOF-DPS,54.0,1.702,337.0,293.0,64.0,,,,,,,,2.45
247.0,SOQ-NBX,1.909,287.0,,69.0,,,,,,,,,2.265
248.0,HLP-BPN,,,,,,,,,,1.358,766.0,,2.124
249.0,CGK-MKW,1.127,953.0,,,,,,,,,,,2.08
250.0,MKQ-EWE,263.0,288.0,246.0,253.0,236.0,276.0,156.0,82.0,83.0,90.0,74.0,,2.047
251.0,TTE-SQN,,,,,,,,,296.0,502.0,587.0,595.0,1.98
252.0,SMQ-BDJ,880.0,701.0,365.0,,,,,,,,,,1.946
253.0,WMX-TIM,583.0,125.0,405.0,393.0,299.0,,22.0,,,,,,1.827
254.0,TIM-SUB,,,,,,,1.714,,,,,,1.714
255.0,MJU-BPN,630.0,,,,,,,,,,,1.064,1.694
256.0,DTB-BTH,,,,,,,,,,,,1.436,1.436
257.0,SUP-SUB,,,,205.0,578.0,311.0,229.0,22.0,,,,,1.345
258.0,PWL-HLP,,,,,,,,,,,571.0,732.0,1.303
