NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
245,TRK-LNU,500,2490,6120,270,0.0,
246,MOF-DPS,82,2450,5904,19835,0.0,
247,SOQ-NBX,62,2265,4464,1414,0.0,
248,HLP-BPN,54,2124,3900,352392,0.0,
249,CGK-MKW,33,2080,5346,86159,48.0,
250,MKQ-EWE,66,2047,4752,960,0.0,
251,TTE-SQN,54,1980,2592,0,0.0,
252,SMQ-BDJ,60,1946,4320,4657,0.0,
253,WMX-TIM,656,1827,4608,4466269,0.0,
254,TIM-SUB,16,1714,2496,14453,0.0,
255,MJU-BPN,48,1694,3408,2,0.0,
256,DTB-BTH,12,1436,2160,30,0.0,
257,SUP-SUB,64,1345,4504,0,0.0,
258,PWL-HLP,30,1303,2100,0,0.0,
259,PLW-GTO,37,1216,2664,0,0.0,
260,PCB-CJN,227,1072,2724,638,3.0,
261,SUB-BWX,41,1056,2800,0,0.0,
262,PNK-PKY,32,1030,2304,28,0.0,
263,WMX-DEX,30,954,1440,80,0.0,
264,HLP-CJN,145,778,1740,128,0.0,
265,SMQ-PKY,24,770,1728,57,0.0,
266,TRT-BPN,33,660,2376,0,0.0,
267,SOQ-NTI,162,630,1944,219,2.0,
268,SQN-AMQ,54,589,2592,0,0.0,
269,SMQ-PKN,22,558,1584,35,0.0,
270,TTE-HLP,6,553,1020,1133,0.0,
271,UOL-PLW,24,550,1728,0,0.0,
272,MDC-AMQ,14,538,1008,32,0.0,
273,DPS-BWX,19,503,1216,0,0.0,
274,MDC-BPN,6,451,718,342,0.0,
275,HLP-CPF,14,435,896,0,0.0,
276,FKQ-AMQ,13,433,936,0,0.0,
277,PKU-PDG,62,418,894,153,0.0,
278,WNI-UPG,9,389,648,64,0.0,
279,SRG-BDO,11,239,792,0,0.0,
280,YIA-PKY,1,214,215,0,0.0,
281,TTE-PGQ,6,188,432,0,0.0,
282,FKQ-BXB,13,187,936,0,0.0,
283,PWL-PCB,4,133,288,0,0.0,
284,PKY-BDJ,67,126,804,3,0.0,
285,WNI-BUW,3,109,216,0,0.0,
286,UPG-LBJ,4,91,288,0,0.0,
287,SUB-SRG,5,90,144,10740,0.0,
288,PCB-CPF,2,88,144,0,0.0,
289,TRK-TJS,163,88,1956,55,2.0,
290,MNA-MDC,2,43,144,0,0.0,
291,SUB-CPF,4,36,256,0,0.0,
292,HLP-AMQ,1,27,156,0,0.0,
293,SUB-AMQ,1,20,189,200,0.0,
294,PLM-DJB,1,15,72,0,0.0,
295,TRK-NNX,2,4,24,0,0.0,
296,TFY-PCB,0,0,0,0,0.0,0.0
297,TKG-PCB,0,0,0,0,0.0,0.0
298,SMQ-PCB,0,0,0,0,0.0,0.0
299,KNG-FKQ,0,0,0,0,0.0,0.0
300,PCB-KTG,0,0,0,0,0.0,0.0
301,TNJ-SIQ,0,0,0,0,0.0,0.0
302,PCB-LLJ,0,0,0,0,0.0,0.0
303,TNJ-TBX,0,0,0,0,0.0,0.0
304,PKN-PCB,0,0,0,0,0.0,0.0
305,RTI-LBJ,0,0,0,0,0.0,0.0
306,TMC-LBJ,0,0,0,0,0.0,0.0
307,ZRI-BIK,0,0,0,0,0.0,0.0
308,NTX-LMU,0,0,0,0,0.0,0.0
309,PNK-NTX,0,0,0,0,0.0,0.0
310,SIQ-BTH,0,0,0,0,0.0,0.0
311,TBX-PNK,0,0,0,0,0.0,0.0
312,PDG-GNS,0,0,0,0,0.0,0.0
313,PKU-DJB,0,0,0,0,0.0,0.0
314,PLM-BKS,0,0,0,0,0.0,0.0
315,SUB-PWL,0,0,0,0,0.0,0.0
316,TJQ-HLP,0,0,0,0,0.0,0.0
317,HLP-DJJ,0,0,0,0,0.0,0.0
318,KNO-DTB,0,0,0,0,0.0,0.0
319,MNA-IAX,0,0,0,0,0.0,0.0
320,NBX-AMQ,0,0,0,0,0.0,0.0
321,PKU-DUM,0,0,0,0,0.0,0.0
322,SUB-PDG,0,0,0,0,0.0,0.0
323,TKG-PLM,0,0,0,0,0.0,0.0
324,TNJ-BTH,0,0,0,0,0.0,0.0
325,YIA-PLM,0,0,0,0,0.0,0.0
326,BTH-BKS,0,0,0,0,0.0,0.0
327,HLP-BDO,0,0,0,0,0.0,0.0
328,KNO-DUM,0,0,0,0,0.0,0.0
329,KOE-HLP,0,0,0,0,0.0,0.0
330,NBX-BIK,0,0,0,0,0.0,0.0
331,SUB-BEJ,0,0,0,0,0.0,0.0
332,SUB-JBB,0,0,0,0,0.0,0.0
333,TIM-DPS,0,0,0,0,0.0,0.0
334,TNJ-PKU,0,0,0,0,0.0,0.0
335,UPG-OJU,0,0,0,0,0.0,0.0
336,BDJ-AAP,0,0,0,0,0.0,0.0
337,DJB-BUU,0,0,0,0,0.0,0.0
338,SUB-PKU,0,0,0,0,0.0,0.0
339,TKG-BDO,0,0,0,0,0.0,0.0
340,TTE-SUB,0,0,0,0,0.0,0.0
341,YIA-TKG,0,0,0,0,0.0,0.0
342,BDO-BDJ,0,0,0,0,0.0,0.0
343,LOP-HLP,0,0,0,0,0.0,0.0
344,MDC-DPS,0,0,0,0,0.0,0.0
345,PKN-HLP,0,0,0,0,0.0,0.0
346,PNK-BPN,0,0,0,0,0.0,0.0
347,SUB-KDI,0,0,0,0,0.0,0.0
348,TIM-LUV,0,0,0,0,0.0,0.0
349,TKG-BKS,0,0,0,0,0.0,0.0
350,TMC-ENE,0,0,0,0,0.0,0.0
351,UPG-PNK,0,0,0,0,0.0,0.0
352,YIA-TRK,0,0,0,0,0.0,0.0
353,DUM-BTH,0,0,0,0,0.0,0.0
354,HLP-BTH,0,0,0,0,0.0,0.0
355,LOP-LBJ,0,0,0,0,0.0,0.0
356,MOF-LBJ,0,0,0,0,0.0,0.0
357,PDG-BPN,0,0,0,0,0.0,0.0
358,PLM-LLJ,0,0,0,0,0.0,0.0
359,TIM-MDC,0,0,0,0,0.0,0.0
360,UPG-KOE,0,0,0,0,0.0,0.0
361,UPG-PSJ,0,0,0,0,0.0,0.0
362,PKU-BDO,0,0,0,0,0.0,0.0
363,SOC-BDO,0,0,0,0,0.0,0.0
364,SUB-PLW,0,0,0,0,0.0,0.0
365,TKG-DJB,0,0,0,0,0.0,0.0
366,UPG-AAP,0,0,0,0,0.0,0.0
367,YIA-PDG,0,0,0,0,0.0,0.0
368,DPS-BDJ,0,0,0,0,0.0,0.0
369,PDG-DJB,0,0,0,0,0.0,0.0
370,CGK-BEJ,0,0,0,0,0.0,0.0
371,HLP-CXP,0,0,0,0,0.0,0.0
372,SIQ-PKU,2,0,24,0,0.0,
373,TSY-PCB,13,0,156,0,0.0,
374,BPN-AAP,2,0,24,0,0.0,
Total,464282,56408353,71706732,436587038,1840319,,
