Source.Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7
20240201085703pdf_1-29 Februari 2024.pdf,13,SULTAN THAHA,JAMBI,DJB,89.40,"15,292.62","15,333.84"
20240201085703pdf_1-29 Februari 2024.pdf,14,SENTANI,JAYAPURA,DJJ,92.10,"15,671.04","15,713.28"
20240201085703pdf_1-29 Februari 2024.pdf,15,NGURAH RAI,DENPASAR,DPS,88.20,"15,014.37","15,054.84"
20240201085703pdf_1-29 Februari 2024.pdf,16,PINANG KAMPAI,DUMAI,DUM,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,17,H. AROEBOESMAN,ENDE,ENE,89.50,"15,281.49","15,322.68"
20240201085703pdf_1-29 Februari 2024.pdf,18,JALALUDDIN,GORONTALO,GTO,91.50,"15,615.39","15,657.48"
20240201085703pdf_1-29 Februari 2024.pdf,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,85.20,"14,524.65","14,563.80"
20240201085703pdf_1-29 Februari 2024.pdf,20,ADISUCIPTO,YOGYAKARTA,JOG,90.40,"15,415.05","15,456.60"
20240201085703pdf_1-29 Februari 2024.pdf,21,WOLTER MONGINSIDI,KENDARI,KDI,91.50,"15,615.39","15,657.48"
20240201085703pdf_1-29 Februari 2024.pdf,22,UTAROM,KAIMANA,KNG,91.80,"15,671.04","15,713.28"
20240201085703pdf_1-29 Februari 2024.pdf,23,ELTARI,KUPANG,KOE,87.30,"14,847.42","14,887.44"
20240201085703pdf_1-29 Februari 2024.pdf,24,LOMBOK INTERNATIONAL,MATARAM,LOP,89.40,"15,259.23","15,300.36"
20240201085703pdf_1-29 Februari 2024.pdf,25,BUBUNG,LUWUK,LUW,91.50,"15,615.39","15,657.48"
20240201085703pdf_1-29 Februari 2024.pdf,26,SAM RATULANGI,MANADO,MDC,91.50,"15,615.39","15,657.48"
20240201085703pdf_1-29 Februari 2024.pdf,27,POLONIA,MEDAN,MES,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,28,MOPAH,MERAUKE,MKQ,91.80,"15,671.04","15,713.28"
20240201085703pdf_1-29 Februari 2024.pdf,29,RENDANI,MANOKWARI,MKW,91.80,"15,671.04","15,713.28"
20240201085703pdf_1-29 Februari 2024.pdf,30,KERTAJATI,MAJALENGKA,KJT,84.50,"14,413.35","14,452.20"
20240201085703pdf_1-29 Februari 2024.pdf,31,ABDURACHMAN SALEH,MALANG,MLG,89.60,"15,292.62","15,333.84"
20240201085703pdf_1-29 Februari 2024.pdf,32,WAI OTI,MAUMERE,MOF,89.50,"15,281.49","15,322.68"
20240201085703pdf_1-29 Februari 2024.pdf,33,PANIAI,NABIRE,NBX,91.80,"15,804.60","15,847.20"
20240201085703pdf_1-29 Februari 2024.pdf,34,RANAI,NATUNA,NTX,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,35,PONDOK CABE,JAKARTA,PCB,90.00,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,36,MINANGKABAU,PADANG,PDG,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,37,DEPATI AMIR,PANGKAL PINANG,PGK,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,38,ISKANDAR,PANGKALAN BUN,PKN,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,39,SULTAN SYARIF KASIM II,PEKANBARU,PKU,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,40,TJILIK RIWUT,PALANGKARAYA,PKY,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,41,SULTAN MAHMUD BADARUDDIN II,PALEMBANG,PLM,"89.40","15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,42,MUTIARA,PALU,PLW,91.50,"15,615.39","15,657.48"
20240201085703pdf_1-29 Februari 2024.pdf,43,SUPADIO,PONTIANAK,PNK,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,44,H. ASAN,SAMPIT,SMQ,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,45,ADISUMARMO,SOLO,SOC,90.40,"15,415.05","15,456.60"
20240201085703pdf_1-29 Februari 2024.pdf,46,SORONG DARATAN,SORONG,SOQ,91.80,"15,671.04","15,713.28"
20240201085703pdf_1-29 Februari 2024.pdf,47,ACHMAD YANI,SEMARANG,SRG,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,48,JUANDA,SURABAYA,SUB,87.80,"14,947.59","14,987.88"
20240201085703pdf_1-29 Februari 2024.pdf,49,RADEN INTEN II,BANDAR LAMPUNG,TKG,88.00,"15,159.06","15,199.92"
20240201085703pdf_1-29 Februari 2024.pdf,50,KIJANG,TANJUNG PINANG,TNJ,89.80,"15,337.14","15,378.48"
20240201085703pdf_1-29 Februari 2024.pdf,51,JUWATA,TARAKAN,TRK,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,52,BABULLAH,TERNATE,TTE,91.80,"15,671.04","15,713.28"
20240201085703pdf_1-29 Februari 2024.pdf,53,HASANUDDIN,UJUNG PANDANG,UPG,90.70,"15,437.31","15,478.92"
20240201085703pdf_1-29 Februari 2024.pdf,54,MAU HAU,WAINGAPU,WGP,89.50,"15,281.49","15,322.68"
20240201085703pdf_1-29 Februari 2024.pdf,55,ISWAHYUDI,MADIUN,WIAR (ICAO),89.50,"15,292.62","15,333.84"
20240201085703pdf_1-29 Februari 2024.pdf,56,DUMATUBUN,TUAL,LUV,92.50,"15,804.60","15,847.20"
20240201085703pdf_1-29 Februari 2024.pdf,57,SILANGIT,SIBORONG-BORONG,DTB,89.30,"15,236.97","15,278.04"
20240201085703pdf_1-29 Februari 2024.pdf,58,KALIMARAU,BERAU,BEJ,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,59,KOMODO,LABUAN BAJO,LBJ,90.50,"15,437.31","15,478.92"
20240201085703pdf_1-29 Februari 2024.pdf,60,KUALANAMU,DELI SERDANG,KNO,88.50,"15,047.76","15,088.32"
20240201085703pdf_1-29 Februari 2024.pdf,61,TAMPA PADANG,MAMUJU,MJU,91.80,"15,659.91","15,702.12"
20240201085703pdf_1-29 Februari 2024.pdf,62,F.L. TOBING,PINANGSORI,FLZ,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,63,MOZES KILANGIN,TIMIKA,TIM,91.80,"15,671.04","15,713.28"
20240201085703pdf_1-29 Februari 2024.pdf,64,H.A.S. HANANDJOEDDIN,TANJUNG PANDAN,TJQ,90.10,"15,415.05","15,456.60"
20240201085703pdf_1-29 Februari 2024.pdf,65,BLIMBINGSARI,BANYUWANGI,BWX,89.50,"15,281.49","15,322.68"
20240201085703pdf_1-29 Februari 2024.pdf,66,TAMBOLAKA,SUMBA BARAT,TMC,92.40,"15,804.60","15,847.20"
