rute_id,kode_rute,bandara_1_id,bandara_2_id,kategori
80,BKK-CGK,18,36,INTERNASIONAL
81,BKK-DPS,18,55,INTERNASIONAL
82,BKS-BTH,19,25,DOMESTIK
83,BKS-CGK,19,36,DOMESTIK
84,BKS-PLM,19,165,DOMESTIK
85,BKS-TKG,19,212,DOMESTIK
86,BLR-DPS,20,55,INTERNASIONAL
87,BMU-DPS,21,55,DOMESTIK
88,BMU-ENE,21,62,DOMESTIK
89,BMU-LOP,21,117,DOMESTIK
90,BMU-UPG,21,226,DOMESTIK
91,BNE-DPS,22,55,INTERNASIONAL
92,BOM-CGK,23,36,INTERNASIONAL
93,BPN-BTH,24,25,DOMESTIK
94,BPN-CGK,24,36,DOMESTIK
95,BPN-DHX,24,47,DOMESTIK
96,BPN-DPS,24,55,DOMESTIK
97,BPN-GHS,24,67,DOMESTIK
98,BPN-KCH,24,89,INTERNASIONAL
99,BPN-KJT,24,95,DOMESTIK
100,BPN-KNO,24,98,DOMESTIK
101,BPN-KUL,24,103,INTERNASIONAL
102,BPN-LNU,24,116,DOMESTIK
103,BPN-LOP,24,117,DOMESTIK
104,BPN-MDC,24,125,DOMESTIK
105,BPN-MJU,24,130,DOMESTIK
106,BPN-PDG,24,156,DOMESTIK
107,BPN-PKY,24,164,DOMESTIK
108,BPN-PLW,24,166,DOMESTIK
109,BPN-PNK,24,168,DOMESTIK
110,BPN-SIN,24,186,INTERNASIONAL
111,BPN-SOC,24,190,DOMESTIK
112,BPN-SRG,24,195,DOMESTIK
113,BPN-SUB,24,197,DOMESTIK
114,BPN-TJS,24,211,DOMESTIK
115,BPN-TRK,24,218,DOMESTIK
116,BPN-TRT,24,219,DOMESTIK
117,BPN-UPG,24,226,DOMESTIK
118,BPN-YIA,24,234,DOMESTIK
119,BTH-BTJ,25,26,DOMESTIK
120,BTH-CGK,25,36,DOMESTIK
121,BTH-DJB,25,50,DOMESTIK
122,BTH-DTB,25,57,DOMESTIK
123,BTH-DUM,25,58,DOMESTIK
124,BTH-ICN,25,80,INTERNASIONAL
125,BTH-KJT,25,95,DOMESTIK
126,BTH-KNO,25,98,DOMESTIK
127,BTH-KUL,25,103,INTERNASIONAL
128,BTH-LMU,25,115,DOMESTIK
129,BTH-LOP,25,117,DOMESTIK
130,BTH-NTX,25,150,DOMESTIK
131,BTH-PDG,25,156,DOMESTIK
132,BTH-PGK,25,159,DOMESTIK
133,BTH-PKU,25,163,DOMESTIK
134,BTH-PLM,25,165,DOMESTIK
135,BTH-PNK,25,168,DOMESTIK
136,BTH-SIQ,25,187,DOMESTIK
137,BTH-SRG,25,195,DOMESTIK
138,BTH-SUB,25,197,DOMESTIK
139,BTH-SZB,25,203,INTERNASIONAL
140,BTH-TKG,25,212,DOMESTIK
141,BTH-TNJ,25,216,DOMESTIK
142,BTH-YIA,25,234,DOMESTIK
143,BTJ-CGK,26,36,DOMESTIK
144,BTJ-KNO,26,98,DOMESTIK
145,BTJ-KUL,26,103,INTERNASIONAL
146,BTJ-PEN,26,158,INTERNASIONAL
