Paspor yang dipegang,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan),,,,,,,,,,,,
Other Asia,23600,11487,2640,230,216,221,227,199,280,330,369,332,40131
Maladewa,216,154,128,0,0,1,0,0,2,3,2,10,516
Kirgistan,353,135,72,2,0,11,1,8,2,1,10,14,609
Tajikhistan,61,33,19,0,0,0,1,2,4,3,0,2,125
Bhutan,115,59,17,2,0,0,0,0,0,0,0,1,194
Afganistan,35,37,13,0,0,0,1,2,1,1,0,13,103
Turkmenistan,81,32,10,0,0,0,0,0,0,2,1,1,127
Stateless,0,0,0,0,0,0,0,0,1,0,0,0,1
Korea Utara,6,2,0,0,0,1,0,0,0,0,0,0,9
"Macao, RRT",-,-,-,-,-,-,-,-,-,-,-,-,-
British Indian Ocean Teritory,0,0,0,0,0,0,0,0,0,0,0,0,0
Lain-lain,22733,11035,2381,226,216,208,224,187,270,320,356,291,38447
TOTAL ASIA (Excl.ASEAN),351787,142135,44350,3186,3357,3387,4204,5319,8850,9601,9977,11294,597447
Saudi Arabia,20671,8180,2116,80,64,81,95,129,183,121,107,79,31906
Oman,2417,963,185,5,3,1,2,6,1,6,11,12,3612
Egypt,1924,1422,632,14,13,8,12,19,46,74,64,109,4337
Jordan,469,366,136,1,3,1,0,1,7,10,14,19,1027
Uni Emirat Arab,511,230,104,27,34,15,26,24,15,25,29,53,1093
Yaman,929,616,197,0,0,0,15,5,12,32,140,148,2094
Other Middle East,2653,1813,495,30,43,65,65,70,67,88,139,184,5712
Iran,613,511,67,8,3,13,14,24,18,24,29,30,1354
Kuwait,563,223,39,0,0,2,0,1,3,4,3,8,846
Irak,331,320,84,1,0,1,3,11,5,10,24,27,817
Syiria,161,134,55,1,0,0,3,0,4,9,17,44,428
Palestina,286,218,105,0,0,1,2,0,0,7,19,9,647
Libanon,339,216,87,0,0,0,1,0,4,3,13,21,684
Bahrain,240,92,26,0,1,0,2,2,4,0,1,5,373
Qatar,87,80,20,5,0,2,2,2,6,1,11,9,225
Israel,33,19,12,15,39,46,38,30,23,30,22,31,338
TOTAL MIDDLE EAST,29574,13590,3865,157,160,171,215,254,331,356,504,604,49781
United Kingdom,27595,24903,15002,89,122,112,152,134,252,417,576,643,69997
R u s i a,27406,21036,12581,137,159,85,111,107,178,467,971,4253,67491
France,14938,18535,8108,7,9,23,89,124,128,300,425,752,43438
Germany,16562,17117,11116,24,24,29,54,72,91,226,373,673,46361
Netherlands,14848,13845,8247,518,848,1055,1089,1348,2297,2903,3095,3402,53495
I t a l y,5057,5177,1541,112,94,103,108,134,142,204,287,301,13260
Spain,4272,4095,2219,74,84,104,97,104,108,166,235,271,11829
Polandia,3390,3604,1622,10,24,11,11,21,40,72,80,170,9055
Ukraine,6577,4973,2507,186,275,193,68,131,98,175,359,949,16491
Sweden,5437,5915,2893,465,457,376,311,362,329,337,404,314,17600
Denmark,3934,4556,1795,6,5,6,14,19,13,41,68,76,10533
Switzerland,3053,3255,1587,4,9,10,18,20,34,90,100,182,8362
Portugal,2718,2185,1146,26,5,11,11,18,16,22,43,44,6245
Ceko,2116,2519,1226,3,0,2,3,13,12,45,82,157,6178
Irlandia (Ireland),2166,1860,993,2,2,2,8,6,14,26,38,50,5167
Belgium,2131,2128,1212,9,5,5,24,9,28,85,124,142,5902
Norway,1839,2137,939,5,2,5,8,12,12,30,36,47,5072
Romania,1854,1509,607,33,37,30,22,22,18,53,58,77,4320
Austria,1775,1791,871,11,3,7,13,17,21,74,111,164,4858
Hongaria,1423,1503,598,3,3,0,2,13,9,17,39,54,3664
Finland,2596,2685,971,0,1,1,4,7,12,19,34,46,6376
Belarus,1223,1030,530,2,1,0,2,1,8,16,81,198,3092
Lithuania,1067,1254,588,6,1,2,3,7,7,19,28,56,3038
Slovakia,784,888,451,0,0,1,1,1,4,9,32,32,2203
Estonia,1082,1265,540,17,11,9,15,14,10,36,46,54,3099
Bulgaria,1004,1097,328,10,7,4,10,7,8,25,34,41,2575
Yunani (Greece),817,643,245,19,37,38,22,28,32,55,46,65,2047
Latvia,612,651,417,8,8,8,6,8,4,9,22,107,1860
Croasia,571,347,213,15,13,46,8,5,20,45,54,51,1388
Other West Europe,390,421,229,2,5,3,13,2,4,8,10,15,1102
Iceland (Islandia),161,165,139,2,1,3,4,1,0,3,6,6,491
Malta,100,87,42,0,0,0,0,0,2,2,2,3,238
Luxemburg,91,85,42,0,1,0,3,1,1,0,2,2,228
Liechtenstein,15,17,1,0,3,0,6,0,0,1,0,2,45
Monako,7,18,2,0,0,0,0,0,0,1,0,0,28
Andorra,10,12,1,0,0,0,0,0,0,1,0,2,26
San Marino,4,10,2,0,0,0,0,0,0,0,0,0,16
Aruba,0,24,0,0,0,0,0,0,0,0,0,0,24
Scotlandia,1,0,0,0,0,0,0,0,0,0,0,0,1
Vatikan,1,3,0,0,0,0,0,0,1,0,0,0,5
Volta Atas,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellenic,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,0,0,0,0,0,0,0,0,0,0,0,0,0
Other East Europe,1951,2110,659,41,21,16,13,20,28,32,67,123,5081
Serbia,527,525,172,6,1,0,2,7,8,7,18,14,1287
Slovenia,350,491,117,1,0,1,0,1,3,3,9,10,986
Armenia,140,66,45,1,0,0,0,0,0,1,0,5,258
Azerbaijan,181,95,68,1,1,1,1,1,2,4,2,17,374
Cyprus,137,439,57,2,1,1,1,1,1,2,3,5,650
Macedonia,95,94,21,1,0,0,0,0,0,0,3,3,217
Bosnia Herzegovina,114,105,46,0,1,1,2,2,0,2,2,5,280
Georgia,82,86,39,24,14,10,5,6,12,3,12,34,327
Albania,106,62,23,0,0,0,0,1,0,1,1,2,196
Moldova,164,121,56,4,2,2,0,0,0,5,10,21,385
Montenegro,54,24,15,1,1,0,2,1,2,4,7,6,117
Republik Cosovo,1,1,0,0,0,0,0,0,0,0,0,1,3
Siberia,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,0,1,0,0,0,0,0,0,0,0,0,0,1
TOTAL EUROPE,161188,155034,81981,1844,2272,2297,2310,2786,3977,6023,7958,13509,441179
United States of America,33800,28677,13719,1118,1022,1070,1363,1740,1464,3054,2401,2354,91782
Canada,9402,9127,3804,53,82,86,53,57,54,105,187,190,23200
Brazilia,2420,1827,1095,28,31,35,47,69,89,127,99,78,5945
Kolombia,583,450,264,2,0,1,0,0,1,2,11,10,1324
Argentina,1227,1128,661,2,1,1,4,4,2,8,13,15,3066
Mexiko,958,851,498,2,3,5,5,4,4,18,10,17,2375
Chili,830,1255,493,8,1,1,2,1,3,2,6,13,2615
Central America,254,159,79,3,3,3,2,7,3,6,5,5,529
Costarika,86,55,36,0,0,0,0,0,0,3,0,0,180
Guatemala,33,21,10,0,0,0,0,0,0,1,2,0,67
Panama,47,29,14,2,2,2,1,1,3,2,2,1,106
Honduras,45,28,10,1,1,0,0,0,0,0,0,2,87
El Salvador,25,19,3,0,0,0,0,0,0,0,0,1,48
Nicaragua,9,5,6,0,0,1,1,6,0,0,1,1,30
Belize,9,2,0,0,0,0,0,0,0,0,0,0,11
South America,687,687,726,11,7,3,13,4,6,8,21,19,2192
Peru,235,223,103,9,2,0,7,2,0,2,5,6,594
Venezuela,118,100,52,1,2,1,3,1,3,4,8,7,300
Ekuador,125,74,26,0,1,1,1,0,3,0,4,1,236
Uruguay,115,220,498,0,1,1,2,1,0,1,3,3,845
Paraguay,30,17,9,0,0,0,0,0,0,0,1,0,57
Bolivia,44,33,14,0,0,0,0,0,0,1,0,1,93
Suriname,12,15,19,1,1,0,0,0,0,0,0,0,48
Guyana,6,5,5,0,0,0,0,0,0,0,0,1,17
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Guiana,2,0,0,0,0,0,0,0,0,0,0,0,2
Other America,481,331,138,1,5,5,10,15,17,9,17,15,1044
UNO,145,109,33,1,3,2,9,12,14,7,9,11,355
Kuba,83,42,35,0,2,2,0,0,3,0,3,1,171
Dominika,37,25,2,0,0,0,0,0,0,0,0,2,66
Trinidad & Tobago,32,29,17,0,0,0,0,0,0,0,2,0,80
St. Kitts & Nevis,22,22,11,0,0,0,0,1,0,0,1,0,57
Jamaika,55,41,10,0,0,0,0,1,0,2,2,1,112
Barbados,17,5,3,0,0,0,0,0,0,0,0,0,25
Grenadines (Grenada),17,10,1,0,0,0,0,0,0,0,0,0,28
St. Lucia,3,7,1,0,0,0,0,0,0,0,0,0,11
Antigua & Barbuda,11,2,4,0,0,0,0,0,0,0,0,0,17
Bahama Islands,10,6,2,0,0,0,0,0,0,0,0,0,18
Haiti,9,8,3,0,0,1,1,0,0,0,0,0,22
Dominika Rep.,31,23,12,0,0,0,0,0,0,0,0,0,66
St. Vincent,8,1,2,0,0,0,0,1,0,0,0,0,12
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0
Puertorico,0,0,1,0,0,0,0,0,0,0,0,0,1
St. Christopher,1,1,0,0,0,0,0,0,0,0,0,0,2
Guadelope,0,0,1,0,0,0,0,0,0,0,0,0,1
TOTAL AMERICA,50642,44492,21477,1228,1155,1210,1499,1901,1643,3339,2770,2716,134072
Australia,119242,91037,43734,140,102,138,202,159,244,379,377,537,256291
Papua New Guinea,7905,1252,1248,1021,1266,1263,1261,987,742,991,1514,1525,20975
New Zealand,8586,7250,3817,8,9,15,24,34,36,52,58,58,19947
Other Oceania,206,163,55,5,45,13,32,10,5,8,7,24,573
Fiji Islands,133,109,40,1,42,2,29,6,3,2,0,2,369
Vanuatu,8,13,5,0,0,0,0,0,0,1,1,1,29
Tonga,9,7,1,0,0,5,1,0,0,0,0,0,23
Solomon Islands,20,16,7,3,3,6,2,4,2,5,6,7,81
Samoa,16,8,1,0,0,0,0,0,0,0,0,1,26
Nauru,4,3,0,0,0,0,0,0,0,0,0,0,7
Palau Rep.,1,1,0,0,0,0,0,0,0,0,0,0,2
Cooks Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaledonia,0,0,0,0,0,0,0,0,0,0,0,0,0
Karibati (Kiribati),4,3,1,0,0,0,0,0,0,0,0,13,21
Marshall Islands,6,1,0,0,0,0,0,0,0,0,0,0,7
Micronesia Rep.,0,0,0,1,0,0,0,0,0,0,0,0,1
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0
Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa Barat,0,1,0,0,0,0,0,0,0,0,0,0,1
Tuvalu,5,1,0,0,0,0,0,0,0,0,0,0,6
Walis & Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL OCEANIA,135939,99702,48854,1174,1422,1429,1519,1190,1027,1430,1956,2144,297786
South Africa,3613,2041,1397,7,15,7,15,16,21,49,76,93,7350
Maroko,707,615,333,1,1,3,7,5,5,6,8,16,1707
Other Africa,3221,2494,1240,42,40,51,57,32,54,75,105,153,7564
Kenya,147,169,81,4,1,2,4,0,2,2,6,11,429
Tunisia,258,220,142,2,0,0,5,4,2,0,2,10,645
Aljazair / Algeria,332,297,136,2,1,0,3,2,4,7,4,4,792
Mauritius,333,194,69,0,1,3,2,1,0,2,2,4,611
Tanzania,104,84,72,12,7,7,7,5,12,9,13,17,349
Libya,245,159,116,0,0,0,1,1,0,2,10,14,548
Nigeria,168,171,114,2,3,2,1,1,0,3,3,3,471
Mozambik,88,31,9,3,3,2,5,3,3,4,1,1,153
Zimbabwe,149,105,69,0,0,0,0,1,0,8,0,4,336
Sudan,331,266,71,0,2,3,4,5,2,5,11,18,718
Somalia,3,13,0,0,0,0,0,0,0,0,2,1,19
Ghana,268,120,37,3,2,1,2,1,1,1,3,7,446
Kamerun,14,14,26,0,1,1,1,0,1,3,4,3,68
Uganda,76,79,53,0,0,0,1,0,0,6,1,2,218
Malagasy (Madagascar),46,39,14,0,0,1,0,0,1,0,0,1,102
Ethiopia,57,25,10,2,1,1,1,2,4,1,2,2,108
Congo Rep. Dem.,14,17,6,0,0,0,0,0,0,5,0,1,43
Seychelles,37,22,11,1,0,0,1,0,0,0,0,0,72
Burkina Faso,19,22,2,0,0,0,0,0,0,1,0,1,45
Rwanda,16,13,4,0,0,0,0,0,0,0,0,0,33
Zambia,36,26,12,0,0,0,1,0,0,3,2,0,80
Malawi,17,12,4,0,0,0,0,0,0,0,1,1,35
Senegal,30,51,24,0,0,2,3,2,10,0,7,4,133
Comoros,23,16,11,0,0,0,0,0,0,0,0,1,51
Mali,33,29,9,0,0,0,0,0,0,0,2,0,73
Eritrea,18,16,1,0,0,0,0,0,2,0,1,2,40
Chad,15,9,3,0,0,0,0,0,1,0,0,0,28
Sierra Leona,23,28,19,0,0,0,0,0,1,0,0,3,74
Namibia,62,34,17,0,0,1,0,0,0,0,2,0,116
Gambia,12,24,6,1,0,0,0,1,0,2,0,11,57
Bostwana,54,24,20,0,0,0,0,0,0,0,0,0,98
Liberia,6,8,0,0,9,17,3,0,5,4,8,8,68
Swaziland,9,17,7,0,0,0,0,0,0,0,0,0,33
Guinea,7,5,3,0,0,1,5,1,0,1,2,0,25
Cape Verde,32,11,4,0,0,0,1,0,0,0,1,0,49
Ivory Coast (Pantai Gading),42,48,24,2,1,1,0,1,0,0,1,3,123
Congo,3,1,1,0,0,0,0,0,1,0,1,0,7
Burundi,3,2,1,0,0,0,0,0,0,0,0,0,6
Mauritania,17,7,7,0,0,2,2,0,1,0,3,2,41
Togo,9,7,0,0,0,0,0,0,0,0,1,2,19
Gabon,8,5,4,0,0,0,0,0,0,1,0,2,20
Lesotho,4,6,5,0,0,0,0,0,0,0,0,0,15
South Sudan,1,3,0,0,0,0,0,0,0,0,0,0,4
Niger,3,4,0,1,0,0,0,0,0,0,0,0,8
Djibouti,5,8,2,1,1,0,0,0,0,0,3,1,21
Guinea Equator,2,2,2,5,7,1,0,0,0,0,0,0,19
Afrika Tengah Rep.,0,0,4,0,0,0,0,0,0,3,0,0,7
Angola,28,15,5,1,0,2,3,0,1,1,5,4,65
Benin,8,2,1,0,0,0,1,1,0,1,1,0,15
Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome & Principe,5,1,0,0,0,0,0,0,0,0,0,0,6
Zaire,0,0,0,0,0,1,0,0,0,0,0,1,2
Burkinabe,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabinda,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea Bissau,1,13,2,0,0,0,0,0,0,0,0,4,20
Maseru,0,0,0,0,0,0,0,0,0,0,0,0,0
Zomba,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL AFRICA,7541,5150,2970,50,56,61,79,53,80,130,189,262,16621
GRAND TOTAL,1290411,872765,486155,158066,161842,156561,155742,161549,148984,152293,144476,164079,4052923
