NO,RUTE ( PP),Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,TOTAL 2022
98.0,CGK-HAK,,,,,,,,,,,,,
99.0,HND-DPS,,,,,,,,,,,,,
100.0,KUL-BPN,,,,,,,,,,,,,
101.0,PNK-KCH,,,,,,,,,,,,,
102.0,CGK-HAN,,,,,,,,,,,,,
103.0,MED-KNO,,,,,,,,,,,,,
104.0,PNK-KUL,,,,,,,,,,,,,
105.0,CGK-KIX,,,,,,,,,,,,,
106.0,CGK-NNG,,,,,,,,,,,,,
107.0,DPS-AKL,,,,,,,,,,,,,
108.0,PVG-DPS,,,,,,,,,,,,,
109.0,SZB-PKU,,,,,,,,,,,,,
110.0,CGK-KMG,,,,,,,,,,,,,
111.0,CGK-SZB,,,,,,,,,,,,,
112.0,KUL-DTB,,,,,,,,,,,,,
113.0,PER-LOP,,,,,,,,,,,,,
114.0,PVG-MDC,,,,,,,,,,,,,
115.0,SZX-DPS,,,,,,,,,,,,,
116.0,WUH-DPS,,,,,,,,,,,,,
117.0,CGK-DPS,,,,,,,,,,,,,
118.0,FOC-DPS,,,,,,,,,,,,,
119.0,KIX-DPS,,,,,,,,,,,,,
120.0,NKG-DPS,,,,,,,,,,,,,
121.0,PHE-DPS,,,,,,,,,,,,,
122.0,SIN-PLM,,,,,,,,,,,,,
123.0,TKG-KUL,,,,,,,,,,,,,
124.0,XMN-DPS,,,,,,,,,,,,,
125.0,DPS-CAN,,,,,,,,,,,,,
126.0,SIN-BDO,,,,,,,,,,,,,
127.0,SOC-KUL,,,,,,,,,,,,,
128.0,HGH-DPS,,,,,,,,,,,,,
129.0,KNO-JED,,,,,,,,,,,,,
130.0,MDC-CAN,,,,,,,,,,,,,
131.0,SIN-BPN,,,,,,,,,,,,,
132.0,SRG-KUL,,,,,,,,,,,,,
133.0,TWU-TRK,,,,,,,,,,,,,
,,162.122,165.476,301.029,535.685,866.253,1017513.0,1247813.0,1397429.0,1508534.0,1632462.0,1588915.0,1875515.0,12298746.0
