NO,RUTE ( PP),Jan-21,Feb-21,Mar-21,Apr-21,Mei-21,Jun-21,Jul-21,Agu-21,Sep-21,Okt-21,Nov-21,Des-21,TOTAL 2021,TOTAL 2020,TOTAL 2019
82,Solo (SOC) - Denpasar (DPS),6074.0,3669.0,8476.0,9946.0,7161.0,11057.0,821.0,164.0,5581.0,10884.0,12431.0,14087.0,90351.0,91611.0,240223.0
83,Malang (MLG) - Jakarta-HLP (HLP),7191.0,6889.0,10306.0,10773.0,7362.0,12193.0,841.0,,7601.0,9669.0,8445.0,8298.0,89568.0,147444.0,369549.0
84,Makassar (UPG) - Luwuk (LUW),6369.0,5781.0,8330.0,9079.0,7257.0,10553.0,3571.0,3968.0,7197.0,8927.0,8698.0,9827.0,89557.0,81487.0,144949.0
85,Makassar (UPG) - Biak (BIK),6590.0,5437.0,5895.0,7005.0,6199.0,8197.0,5842.0,4252.0,8185.0,8455.0,8995.0,11752.0,86804.0,72736.0,139836.0
86,Kupang (KOE) - Ende (ENE),6433.0,3517.0,5631.0,6981.0,6168.0,10379.0,5322.0,5282.0,8587.0,10563.0,6787.0,7183.0,82833.0,83415.0,122460.0
87,Yogyakarta (JOG) - Jakarta-HLP (HLP),4372.0,6717.0,8714.0,9136.0,5692.0,7987.0,1169.0,3411.0,8501.0,9403.0,9604.0,8023.0,82729.0,235838.0,901314.0
88,Jakarta (CGK) - Labuhan Bajo (LBJ),6018.0,2571.0,5007.0,5839.0,5212.0,9356.0,3383.0,2121.0,5651.0,10028.0,9670.0,17517.0,82373.0,72521.0,144021.0
89,Kupang (KOE) - Denpasar (DPS),5896.0,4469.0,7414.0,9407.0,7096.0,10535.0,780.0,230.0,5967.0,8819.0,9720.0,10013.0,80346.0,87943.0,206949.0
90,Waingapu (WGP) - Kupang (KOE),5250.0,3480.0,4455.0,5772.0,5862.0,10228.0,4482.0,5014.0,7999.0,9367.0,8030.0,7187.0,77126.0,60248.0,76682.0
91,"Praya, Lombok (LOP) - Bima (BMU)",7325.0,5476.0,6837.0,6720.0,4753.0,8011.0,3738.0,4255.0,6944.0,7496.0,7169.0,8034.0,76758.0,96362.0,177506.0
92,Palembang (PLM) - Pangkal Pinang (PGK),6013.0,3223.0,7089.0,7992.0,6719.0,10015.0,6191.0,1162.0,2862.0,5665.0,8596.0,10079.0,75606.0,101912.0,300313.0
93,Jakarta-HLP (HLP) - Siborong-borong (DTB),6634.0,7480.0,6401.0,7783.0,6009.0,8558.0,1396.0,1331.0,3420.0,8257.0,9064.0,9005.0,75338.0,59981.0,107491.0
94,Jakarta (CGK) - Ternate (TTE),4011.0,3210.0,4093.0,6992.0,6096.0,11089.0,1458.0,1033.0,2447.0,11171.0,11518.0,12176.0,75294.0,65983.0,212481.0
95,Sorong (SOQ) - Manado (MDC),9094.0,5846.0,6296.0,6787.0,5718.0,8513.0,3124.0,2131.0,3065.0,5099.0,6682.0,8913.0,71268.0,38920.0,144174.0
