waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2021,271,DOMESTIK,16,16,32,803,867,1.67,0,7211,6725,13936,0,0,0,0,0,0
2022,271,DOMESTIK,126,126,252,12129,12221,24.35,0,99923,97577,197.5,758,652,1.41,0,0,0
2023,271,DOMESTIK,141,141,282,12768,12942,25.71,0,109682,96314,205996,1.62,260,1.88,0,0,0
2024,271,DOMESTIK,215,216,431,15347,15492,30839,0,129732,115946,245678,3541,804,4345,1,0,1
2020,64,DOMESTIK,2081,2079,4.16,158017,181107,339124,107,2524,0,2524,1244634,455458,1700092,0,0,0
2021,64,DOMESTIK,1654,1656,3.31,163351,159363,322714,0,0,0,0,904353,330371,1234724,0,0,0
2022,64,DOMESTIK,2.22,2.22,4.44,255.93,277379,533309,0,1458855,1310857,2769712,1146172,354913,1501085,0,100,100
2023,64,DOMESTIK,2325,2326,4651,299676,307667,607343,18,2345669,2083107,4428776,1270083,391669,1661752,305,0,305
2024,64,DOMESTIK,2.39,2391,4781,291933,300196,592129,0,2331136,2095766,4426902,1184831,558989,1743820,2492,4957,7449
2020,273,DOMESTIK,144,144,288,344,442,786,0,1994,2474,4468,169,173,342,0,0,0
2021,273,DOMESTIK,210,210,420,372,479,851,0,1837,2672,4509,0,0,0,0,0,0
2022,273,DOMESTIK,207,207,414,917,1194,2111,1,5175,6822,11997,0,0,0,0,0,0
2023,273,DOMESTIK,207,207,414,1408,1845,3253,0,9299,10881,20.18,0,0,0,0,0,0
2024,273,DOMESTIK,208,208,416,1528,1865,3393,0,5938,6641,12579,0,0,0,0,0,0
2024,62,DOMESTIK,109,109,218,1002,1141,2143,0,3738,3257,6995,0,0,0,0,0,0
2020,323,DOMESTIK,8574,8693,17267,712.47,676702,1389172,12.01,3399343,3397542,6796885,4098145,2165479,6263624,4607,6124,10731
2021,323,DOMESTIK,5557,5603,11.16,513698,519497,1033195,0,0,0,0,3306897,2380472,5687369,0,0,0
2022,323,DOMESTIK,8631,8629,17.26,1021382,1026743,2048125,5369,11600559,7929398,19529957,2880038,2416778,5296816,0,0,0
2023,323,DOMESTIK,9649,9645,19294,1356967,1364074,2721041,15786,9822752,10345892,20168644,2679609,2413213,5092822,0,789,789
2024,323,DOMESTIK,9409,9.41,18819,1374281,1380250,2754531,15.64,9955910,10485104,20441014,2902179,2916277,5818456,133,841,974
2020,323,INTERNASIONAL,201,202,403,23052,21085,44137,9,318206,155946,474152,11391,11866,23257,0,0,0
2021,323,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,323,INTERNASIONAL,57,56,113,4782,4984,9766,0,120835,44636,165471,0,0,0,0,0,0
2023,323,INTERNASIONAL,94,75,169,16022,12161,28183,0,359277,153381,512658,413,0,413,0,0,0
2024,323,INTERNASIONAL,111,105,216,30258,31311,61569,1,811276,452323,1263599,218,0,218,0,0,0
2024,15,DOMESTIK,209,208,417,942,1157,2099,0,2495,1308,3803,0,0,0,0,0,0
2020,204,DOMESTIK,2182,2.18,4362,152684,153768,306452,315,842015,836643,1678658,1966522,980578,2947100,0,0,0
2021,204,DOMESTIK,2105,2106,4211,155205,155119,310324,0,0,0,0,3765431,1618787,5384218,0,0,0
2022,204,DOMESTIK,2793,2793,5586,293719,291223,584942,15798,2122153,2088072,4210225,4160861,1091805,5252666,0,0,0
2023,204,DOMESTIK,2566,2566,5132,323361,319527,642888,7775,2289005,2276882,4565887,3900540,1262157,5162697,0,0,0
2024,204,DOMESTIK,2105,2104,4209,277226,280608,557834,2238,2007568,2019159,4026727,3381899,1101760,4483659,0,0,0
2020,204,INTERNASIONAL,46,48,94,3332,4025,7357,0,23157,19709,42866,0,0,0,0,0,0
2021,204,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,204,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,204,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,204,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,50,DOMESTIK,4797,4795,9592,337873,317036,654909,18157,1594024,1691682,3285706,3779016,2243659,6022675,0,2039,2039
2021,50,DOMESTIK,3468,3468,6936,320653,316999,637652,0,0,0,0,6838603,2571174,9409777,0,0,0
2022,50,DOMESTIK,5126,5124,10.25,594046,574058,1168104,29103,4415871,4555475,8971346,8335140,2191754,10526894,0,1099,1099
2023,50,DOMESTIK,5106,5106,10212,654301,621569,1275870,39382,4860006,4818807,9678813,7050338,2140865,9191203,1,3153,3154
2024,50,DOMESTIK,4772,4767,9539,599204,603463,1202667,28211,4529202,4756670,9285872,7807640,2542514,10350154,0,1002,1002
2020,50,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,50,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,50,INTERNASIONAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,50,INTERNASIONAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,50,INTERNASIONAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,318,DOMESTIK,316,316,632,23916,23319,47235,0,150679,154724,305403,32959,18952,51911,0,0,0
2021,318,DOMESTIK,104,103,207,8393,9.51,17903,0,61918,76.68,138598,3.05,4894,7944,0,0,0
2022,318,DOMESTIK,171,169,340,21.5,21366,42866,0,172081,178683,350764,1.08,0,1.08,0,0,0
2023,318,DOMESTIK,321,321,642,42464,41603,84067,0,351654,322823,674477,5967,26,5993,0,0,0
2024,318,DOMESTIK,376,376,752,50788,48973,99761,0,410888,372857,783745,8239,0,8239,0,0,0
2020,298,DOMESTIK,3917,3914,7831,246652,321593,568245,2184,1000773,788.41,1789183,894.77,663528,1558298,0,0,0
2021,298,DOMESTIK,2299,2295,4594,210.86,214512,425372,3,1195055,1202806,2397861,474045,515697,989742,0,0,0
2022,298,DOMESTIK,2821,2826,5647,336061,351563,687624,1,2471747,2384919,4856666,436922,664125,1101047,0,0,0
2023,298,DOMESTIK,3407,3402,6809,450007,468637,918644,310,0,0,0,457454,659287,1116741,3526114,3238976,6765090
2024,298,DOMESTIK,4106,4123,8229,487279,531454,1018733,14,3645705,3565949,7211654,455239,1051588,1506827,78,0,78
2024,272,DOMESTIK,205,205,410,1,1,3,0,4,4,8,0,0,0,0,0,0
