bandara_id,kode_iata,nama_bandara,kota,provinsi,negara
29,,BIL,PRAYA,NUSA TENGGARA BARAT,INDONESIA
30,,BILORAI / SUGAPA,,PAPUA TENGAH,INDONESIA
31,GNS,BINAKA,GUNUNG SITOLI,SUMATERA UTARA,INDONESIA
32,,BINTUNI,,PAPUA BARAT,INDONESIA
33,,BINUANG,,KALIMANTAN UTARA,INDONESIA
34,,BLANGKEJEN,GAYO LUWES,DAERAH ISTIMEWA ACEH,INDONESIA
35,BWX,BLIMBINGSARI,BANYUWANGI,JAWA TIMUR,INDONESIA
36,,BOKONDINI,,PAPUA PEGUNUNGAN,INDONESIA
37,,BOLAANG MONGONDOW,,SULAWESI UTARA,INDONESIA
38,,BOMAKIA,,PAPUA SELATAN,INDONESIA
39,,BUA (LAGALIGO),,SULAWESI SELATAN,INDONESIA
40,,BUDIARTO,,BANTEN,INDONESIA
41,PGQ,BULI,MABA,MALUKU UTARA,INDONESIA
42,TRT,BUNTU KUNIK,TANA TORAJA,SULAWESI SELATAN,INDONESIA
43,,CAKRABUANA,CIREBON,JAWA BARAT,INDONESIA
44,,CUT NYAK DHIEN,NAGAN RAYA,DAERAH ISTIMEWA ACEH,INDONESIA
45,SIQ,DABO,SINGKEP,KEPULAUAN RIAU,INDONESIA
46,,DABRA,,PAPUA,INDONESIA
47,,DATA DIAN,,KALIMANTAN UTARA,INDONESIA
48,,DATAH DAWAI,DATAH DAWAI,KALIMANTAN TIMUR,INDONESIA
49,RTI,DAVID CONSTANTIJN SAUDALE,ROTE,NUSA TENGGARA TIMUR,INDONESIA
50,PGK,DEPATI AMIR,PANGKAL PINANG,BANGKA BELITUNG,INDONESIA
51,KRC,DEPATI PARBO,KERINCI,JAMBI,INDONESIA
52,,DEWA DARU,KARIMUNJAWA,JAWA TENGAH,INDONESIA
53,,DHOHO,KEDIRI,JAWA TIMUR,INDONESIA
54,GTO,DJALALUDDIN,GORONTALO,GORONTALO,INDONESIA
55,,DOBO,PULAU ARU,MALUKU,INDONESIA
56,,DOFA BENJINA FALABISAHAYA,MANGOLE,MALUKU UTARA,INDONESIA
57,SOQ,DOMINE EDUARD OSOK,SORONG,PAPUA BARAT DAYA,INDONESIA
58,,ELELIM,,PAPUA PEGUNUNGAN,INDONESIA
59,KOE,ELTARI,KUPANG,NUSA TENGGARA TIMUR,INDONESIA
60,SON,EMALAMO,SANANA,MALUKU UTARA,INDONESIA
61,,ENAROTALI,,PAPUA TENGAH,INDONESIA
62,,ENGGANO,,BENGKULU,INDONESIA
63,,EWER,,PAPUA SELATAN,INDONESIA
64,,FATMAWATI SOEKARNO,PADANG KEMILING,BENGKULU,INDONESIA
65,FLZ,FERDINAND L. TOBING,SIBOLGA,SUMATERA UTARA,INDONESIA
66,ADD,Addis Ababa,Addis Ababa,,
67,ADL,Adelaide,Adelaide,,
68,AKL,Auckland,Auckland,,
69,AMS,Amsterdam,Amsterdam,,
70,AUH,Abu Dhabi,Abu Dhabi,,
71,AVV,Geelong,Geelong,,
72,BEJ,Tanjung Redeb,Tanjung Redeb,,
73,BKI,Kota Kinabalu,Kota Kinabalu,,
74,BKK,Bangkok,Bangkok,,
75,BKS,Bengkulu,Bengkulu,,
76,BLR,Bangalore,Bangalore,,
77,BNE,Brisbane,Brisbane,,
