waktu_id,maskapai_id,kategori_rute,aircraft_km,aircraft_departure,aircraft_hours,passenger_carried,freight_carried,passenger_km,available_seat_km,passenger_load_factor,ton_km_passenger,ton_km_freight,ton_km_mail,ton_km_total,available_ton_km,weight_load_factor
2021,83,INTERNASIONAL,574.0,721.0,4148.75,1265497.0,37458.0,1510600.0,1777988.0,8.0,52.0,35176.0,1.0,44327.0,497921.0,2.0
2022,83,INTERNASIONAL,1.0,1.0,11845.416666666666,2347691.0,37623.0,2881754.0,3436459.0,3.86,116314.0,37800.0,18.0,154174.0,898423.0,9.01
2023,83,INTERNASIONAL,3133.0,1111.0,32763.35,2.0,37644.0,3.0,3.0,8.0,221885.0,38643.0,8.0,260646.0,1.0,3.0
2024,83,INTERNASIONAL,14591.0,12341.0,30055.966666666667,690471.0,50031.0,334979.0,879960.0,5.95,256764.0,51351.0,4.0,308200.0,6224.0,0.63
2020,84,INTERNASIONAL,1.0,12.0,504.0,4579.0,2.0,80742.0,96362.0,8.0,893.0,7.0,0.0,994.0,11750.0,5.0
2021,84,INTERNASIONAL,715.0,5.0,9.0,12232.0,373.0,40178.0,96066.0,6.87,2.0,788.0,0.0,3.0,14165.0,2.86
2022,84,INTERNASIONAL,1.0,22.0,8.0,122101.0,1.0,401100.0,461730.0,7.0,8880.0,4.0,0.0,6668.0,69365.0,1.0
2023,84,INTERNASIONAL,669.0,508.0,2286.0,91812.0,481.0,301602.0,410974.0,3.39,21716.0,863.0,0.0,26579.0,239720.0,1.09
2024,84,INTERNASIONAL,1.643,500.0,2250.0,72.388,1.148,237.796,306.852,77.5,17114.0,3.771,0.0,20.885,174.978,12.0
2023,85,INTERNASIONAL,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,5.0,0.0,5.0,5.0,0.0
2024,85,INTERNASIONAL,69.0,21.0,780.1666666666666,13585.0,41.0,52775.0,87738.0,0.15,717.0,53.0,0.0,270.0,553.0,0.0
2021,97,INTERNASIONAL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,4.0,5.0,8.0
2022,97,INTERNASIONAL,61.0,62.0,0.0,0.0,0.0,0.0,0.0,7.21,733.0,2.0,0.0,735.0,290.0,9.51
2023,97,INTERNASIONAL,3.0,6.0,501.1666666666667,10158.0,1.0,59160.0,67838.0,8.0,6.0,8.0,0.0,6.0,7.0,8.0
2024,97,INTERNASIONAL,644.0,26.0,4799.416666666667,141893.0,45.0,825855.0,974411.0,4.75,6005.0,44.0,3.0,6852.0,9129.0,4.0
2020,86,INTERNASIONAL,2.0,7.0,1071.0,1773.0,4.0,94938.0,135536.0,0.0,544.0,13.0,0.0,558.0,12499.0,0.0
2021,86,INTERNASIONAL,100.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0
2022,86,INTERNASIONAL,5.0,1.0,3025.4166666666665,103571.0,7.0,309165.0,377735.0,1.85,27824.0,23.0,0.0,27847.0,34835.0,9.94
2023,86,INTERNASIONAL,406.0,926.0,7700.583333333333,270554.0,103.0,760598.0,973030.0,78.17,68453.0,272.0,0.0,68725.0,89732.0,76.59
2024,86,INTERNASIONAL,2.784,939.0,3962.3333333333335,134.556,1.0,398.988,501.343,79.58,35910.0,1.0,0.0,35.911,46.238,78.0
2020,87,INTERNASIONAL,652.0,76.0,1534.0,1.0,348.0,3.0,376001.0,1.38,2.0,554.0,80.0,793.0,56962.0,2.43
2021,87,INTERNASIONAL,5.0,2.0,313.3333333333333,318.0,8.0,63.0,69979.0,6.0,39.0,1.0,2.0,6.0,15298.0,5.0
2022,87,INTERNASIONAL,210.0,144.0,3913.1,230872.0,510.0,573581.0,803553.0,9.07,44738.0,5178.0,67.0,296.0,142109.0,2.3
2023,87,INTERNASIONAL,5.0,2.0,7206.966666666666,422337.0,1.0,1034378.0,1497540.0,7.0,111728.0,20078.0,2.0,132073.0,252520.0,4.0
2024,87,INTERNASIONAL,683.0,319.0,7836.616666666667,515621.0,978.0,1267959.0,1698175.0,4.67,98768.0,25988.0,42.0,124998.0,284617.0,4.0
2020,88,INTERNASIONAL,6.0,4.0,1201.7666666666667,2163.0,4.0,97607.0,165965.0,9.78,6.0,6.0,0.0,7.0,17047.0,2.58
2021,88,INTERNASIONAL,24.0,48.0,0.0,0.0,54.0,0.0,0.0,7.0,644.0,14.0,0.0,258.0,0.0,8.0
2022,88,INTERNASIONAL,9.0,6.0,51759.083333333336,63505.0,3.0,88475.0,126790.0,1.51,9.0,4.0,0.0,1.0,10000.0,2.62
2023,88,INTERNASIONAL,44.0,84.0,2394.0,94024.0,47.0,129677.0,181337.0,7.0,726.0,77.0,0.0,203.0,12350.0,8.0
2024,88,INTERNASIONAL,967.0,700.0,2400.0,101713.0,625.0,140593.0,184616.0,6.15,10536.0,865.0,0.0,11400.0,13768.0,2.8
2020,91,INTERNASIONAL,426.0,1.0,6713.0,123809.0,632.0,1179406.0,2385820.0,8.0,114782.0,45861.0,4.0,164080.0,323667.0,6.0
2021,91,INTERNASIONAL,1.0,62.0,8736.0,115624.0,1.0,3200279.0,3579421.0,9.41,107712.0,98251.0,92.0,206610.0,422110.0,0.24
