waktu_id,rute_id,jumlah_penerbangan,jumlah_penumpang,kapasitas_seat,jumlah_barang_kg,jumlah_pos_kg,load_factor_pct
2020,318,68,3499,4760,23250.0,0.0,73.51
2020,319,124,9539,22320,30028.0,0.0,42.74
2020,320,167,6544,12024,4474.0,0.0,54.42
2020,321,151,5216,10872,3466.0,0.0,47.98
2020,322,170,5935,12240,4972.0,0.0,48.49
2020,323,313,16274,22312,2610.0,0.0,72.94
2020,324,151,4375,10872,10248.0,0.0,40.24
2020,327,657,78591,123865,824924.0,45629.0,63.45
2020,328,245,29098,46167,342474.0,0.0,63.03
2020,329,682,34176,48860,176975.0,783.0,69.95
2020,330,1293,19938,31504,3264392.0,0.0,63.29
2020,331,375,46390,65446,140777.0,751.0,70.88
2020,332,28,2675,5040,8908.0,0.0,53.08
2020,333,1145,120392,192361,1677133.0,88316.0,62.59
2020,334,410,14025,20500,28020.0,0.0,68.41
2020,335,1567,194319,285337,1647111.0,105154.0,68.1
2020,336,11477,112182,162236,81469464.0,0.0,69.15
2020,337,353,10478,17650,3137.0,0.0,59.37
2020,338,344,43376,61920,6645.0,0.0,70.05
2020,339,160,20038,28800,668920.0,0.0,69.58
2020,340,203,9106,14616,45084.0,0.0,62.3
2020,341,608,154630,204649,2574348.0,396505.0,75.56
2020,344,199,26290,36774,4027.0,0.0,71.49
2020,345,337,90236,131394,602638.0,617669.0,68.68
2020,346,20,2824,3780,0.0,0.0,74.71
2020,347,82,8971,14760,0.0,0.0,60.78
2020,348,64,10445,12616,0.0,3531.0,82.79
2020,349,448,88871,123304,3094639.0,1618.0,72.07
2020,351,1371,118371,242772,801245.0,213.0,48.76
2020,353,386,84331,122772,1690005.0,181299.0,68.69
2020,354,161,42101,48794,331960.0,267693.0,86.28
2020,355,1029,114164,182283,170813.0,1900.0,62.63
2020,356,14,2860,3010,0.0,3250.0,95.02
2020,357,151,21804,38333,1014864.0,251.0,56.88
2020,358,294,27128,57514,18481.0,12.0,47.17
