waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2021,77,DOMESTIK,280,280,560,1793,2.2,3993,0,13555,11285,24.84,0,0,0,0,0,0
2022,77,DOMESTIK,304,304,608,11044,11212,22256,0,64074,51.88,115954,4,4,8,0,0,0
2023,77,DOMESTIK,502,490,992,21114,20329,41443,7,121.54,98257,219797,0,1,1,0,1,1
2024,77,DOMESTIK,515,491,1006,22542,20.39,42932,2,117385,93779,211164,352,2,354,0,2,2
2024,210,DOMESTIK,42,42,84,108,188,296,0,320,573,893,0,0,0,0,0,0
2020,12,DOMESTIK,8716,8715,17431,751663,716282,1467945,21921,3304204,2528139,5832343,17991024,4098301,22089325,0,0,0
2021,12,DOMESTIK,8057,8061,16118,669092,615845,1284937,13666,3874301,3041477,6915778,22326783,4574250,26901033,0,0,0
2022,12,DOMESTIK,10629,10633,21262,1185589,1146371,2331960,34629,9526080,7241220,16767300,22323240,4937604,27260844,0,0,0
2023,12,DOMESTIK,13214,13209,26423,1426733,1367701,2794434,52988,11725741,8726373,20452114,21175107,5099521,26274628,3,0,3
2024,12,DOMESTIK,13216,13196,26412,1542277,1531164,3073441,49004,12805264,9553073,22358337,27836859,5034536,32871395,0,0,0
2020,12,INTERNASIONAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,12,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,12,INTERNASIONAL,13,13,26,2148,2508,4656,0,62434,41933,104367,0,0,0,0,0,0
2023,12,INTERNASIONAL,36,37,73,5684,5568,11252,408676,139429,87786,227215,0,14688,14688,0,0,0
2024,12,INTERNASIONAL,39,37,76,5849,5533,11382,0,149697,98073,247.77,0,0,0,0,0,0
2020,27,DOMESTIK,709,699,1408,14204,15086,29.29,0,19302,20628,39.93,0,0,0,0,0,0
2021,27,DOMESTIK,888,884,1772,19772,21724,41496,0,31799,36002,67801,41,224,265,0,69,0
