NO,RUTE (PP),Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,TOTAL 2020,TOTAL 2019,TOTAL 2018
300,Sampit (SMQ)-Pangkalan Bun (PKN),2197,2261,2266,50,,,739,385,,,,,7898.0,39996.0,22276.0
301,Makassar (UPG)-Batulicin (BTW),2714,2510,2014,519,,100,,,,,,,7857.0,28226.0,28880.0
302,Siborong-borong (DTB)-Batam (BTH),4765,1943,1101,,,,,,,,,,7809.0,,992.0
303,Tanjung Pinang (TNJ)-Batam (BTH),2592,2040,1873,604,,,364,240,29,,,,7742.0,26165.0,24789.0
304,Lewoleba (LWE)-Kupang (KOE),1851,2010,1945,,,,,1440,438,,,,7684.0,30658.0,26961.0
305,Pekanbaru (PKU)-Majalengka (KJT),3669,2452,1360,,,,,,,,,,7481.0,,32807.0
306,Tahuna (NAH)-Manado (MDC),2486,2258,1664,80,,,,34,190,149,300,271,7432.0,34585.0,22931.0
307,Toli-toli (TLI)-Palu (PLW),2142,2478,1914,258,,,74,48,42,,66,354,7376.0,31114.0,28171.0
308,Palu (PLW)-Gorontalo (GTO),1889,1825,2267,143,,38,326,,25,,498,333,7344.0,23117.0,17252.0
309,Yogyakarta (YIA)-Palembang (PLM),1497,,,808,,,,388,1045,903,993,1685,7319.0,,2950.0
310,Namrole (NRE)-Ambon (AMQ),1743,1207,1344,605,15,73,193,218,316,365,579,496,7154.0,24817.0,23435.0
311,Sampit (SMQ)-Palangkaraya (PKY),1603,1711,2504,18,,,766,432,,,,,7034.0,37766.0,18484.0
312,Melak (GHS)-Balikpapan (BPN),2946,2466,1504,,,,,,,,,,6916.0,,34725.0
313,"Praya, Lombok (LOP)-Labuhan Bajo (LBJ)",2063,1479,2334,279,,392,,,,,,,6547.0,2420.0,32709.0
314,Medan (KNO)-Jambi (DJB),2818,1840,1775,111,,,,,,,,,6544.0,27890.0,31416.0
315,Medan (KNO)-Padang Sidempuan (AEG),2550,2174,1603,108,,,,,,,,,6435.0,25110.0,20378.0
316,Tarakan (TRK)-Nunukan (NNX),2001,2275,2019,68,,,6,6,6,,,,6381.0,12982.0,29123.0
317,Palangkaraya (PKY)-Pangkalan Bun (PKN),"2745
2188","2406
2095","943
1607","-
56","-
-","-
-","-
25","-
25","-
67","-
-","-
-","-
-",6094.0,,24257.0
318,Surabaya (SUB)-Jember (JBB),,,,,,,,,,,,,6063.0,76648.0,35977.0
319,TAKENGON (TXE)-Medan (KNO),1297,1966,2211,280,,,126,65,,,,,5945.0,30048.0,19969.0
