NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
91,PER-LOP,90.0,10992,16200,0,0.0,"67,9"
92,HGH-DPS,64.0,10445,12616,0,3531.0,"82,8"
93,SIN-PKU,100.0,10350,18000,3587,0.0,"57,5"
94,SIN-MDC,92.0,9790,14904,75679,0.0,"65,7"
95,MED-KNO,33.0,9776,14850,0,0.0,"65,8"
96,HAN-DPS,82.0,8971,14760,0,0.0,"60,8"
97,CGK-SZX,315.0,8821,25116,3609199,0.0,"35,1"
98,TJQ-KUL,90.0,8009,16200,0,0.0,"49,4"
99,CGK-XMN,62.0,7762,10540,73406,0.0,"73,6"
100,CGK-JHB,66.0,7688,11880,3458,0.0,"64,7"
101,CGK-ADD,108.0,7163,29430,408030,207354.0,"24,3"
102,CGK-PEK,40.0,7143,11600,263399,0.0,"61,6"
103,CGK-NGO,55.0,7028,13805,184826,0.0,"50,9"
104,SZB-BTH,212.0,6546,15264,0,0.0,"42,9"
105,UPG-JED,15.0,6105,6544,0,4200.0,"93,3"
106,SIN-BPN,357.0,6069,10200,2278167,0.0,"59,5"
107,DPS-CSX,30.0,5959,6450,820,4350.0,"92,4"
108,KUL-DTB,68.0,5833,12240,0,0.0,"47,7"
109,UPG-SIN,60.0,5802,9000,54038,0.0,"64,5"
110,NKG-DPS,38.0,5791,7182,0,0.0,"80,6"
111,WUH-DPS,30.0,5693,6242,1304,4250.0,"91,2"
112,PEN-BTJ,98.0,5667,7056,56469,0.0,"80,3"
113,SIN-LOP,76.0,5656,11004,3254,0.0,"51,4"
114,SOC-JED,15.0,5507,6580,0,0.0,"83,7"
115,SOC-KUL,34.0,5446,7218,0,0.0,"75,5"
116,DPS-CGO,19.0,5394,6840,69167,0.0,"78,9"
117,MDC-CSX,26.0,5309,5590,0,5640.0,"95,0"
118,Denpasar (DPS)-BANDAR SRI BEGAWAN (BWN,,5302,13500,36554,0.0,"39,3"
119,MDC-CAN,26.0,4862,5590,964,4592.0,"87,0"
120,SOC-MED,13.0,4335,5696,0,11400.0,"76,1"
121,PKU-MKZ,132.0,4240,9504,0,0.0,"44,6"
122,LHR-KNO,22.0,4069,8646,32938,699.0,"47,1"
123,CGK-HAK,28.0,3776,6080,360,280.0,"62,1"
124,KOE-DIL,68.0,3499,4760,23250,0.0,"73,5"
125,CGK-TAS,38.0,3139,9348,6094,4.0,"33,6"
126,XIY-DPS,10.0,3112,3600,20348,0.0,"86,4"
127,CGK-PNH,40.0,3032,7200,0,0.0,"42,1"
128,CGK-KMG,26.0,2907,4056,0,0.0,"71,7"
129,KHN-DPS,14.0,2860,3010,0,3250.0,"95,0"
130,FOC-DPS,20.0,2824,3780,0,0.0,"74,7"
131,JED-BPN,6.0,2583,2632,0,0.0,"98,1"
132,PVG-MDC,14.0,2457,3010,0,2457.0,"81,6"
133,SZX-BTH,23.0,2209,3588,0,5240.0,"61,6"
134,TWU-TRK,76.0,2151,5168,0,0.0,"41,6"
135,SZB-PKU,120.0,2095,8640,0,0.0,"24,2"
136,DPS-AVV,52.0,2013,9360,0,0.0,"21,5"
137,XIY-BTH,18.0,1776,2808,150,3860.0,"63,2"
138,PHE-DPS,20.0,1671,3520,0,0.0,"47,5"
139,KMG-DPS,14.0,1524,2520,0,0.0,"60,5"
140,AMS-DPS,10.0,1453,3200,325,0.0,"45,4"
141,"Manado (MDC)-Catitipan, Barangay Buhangin (D",,1405,3150,0,0.0,"44,6"
142,MED-BPN,3.0,1283,1320,0,5020.0,"97,2"
143,CGK-NNG,18.0,1049,2808,0,0.0,"37,4"
144,MDC-BKI,5.0,876,1075,0,1080.0,"81,5"
145,YIA-KUL,14.0,772,2520,655,0.0,"30,6"
146,YIA-SIN,4.0,28,720,0,0.0,"3,9"
147,CGK-SZB,416.0,0,66,6940978,0.0,"0,0"
148,SIN-HLP,209.0,0,0,2871218,0.0,"0,0"
149,CGK-HAN,11.0,0,0,266556,0.0,"0,0"
150,KUL-KJT,0.0,0,0,0,0.0,"0,0"
151,KUL-BPN,0.0,0,0,0,0.0,"0,0"
152,SRG-HAK,0.0,0,0,0,0.0,"0,0"
153,CGK-HGH,0.0,0,0,0,0.0,"0,0"
154,TKG-KUL,0.0,0,0,0,0.0,"0,0"
155,SOC-HAK,0.0,0,0,0,0.0,"0,0"
156,CGK-LUX,0.0,0,0,0,0.0,"0,0"
157,XMN-DPS,0.0,0,0,0,0.0,"0,0"
Total,60825,7187439.0,12660624,317385786,6181001,,
