NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
155,UPG-SRG,345.0,35637.0,65761.0,395147.0,0.0,"54,2"
156,DJJ-DEX,711.0,35482.0,49268.0,236874.0,0.0,"72,0"
157,YIA-PKY,410.0,34584.0,64032.0,87687.0,0.0,"54,0"
158,KOE-ABU,916.0,34403.0,62402.0,60530.0,0.0,"55,1"
159,NBX-DJJ,682.0,34176.0,48860.0,176975.0,783.0,"69,9"
160,TKG-BTH,329.0,34127.0,70163.0,63961.0,50.0,"48,6"
161,WGP-DPS,748.0,33886.0,59760.0,85793.0,0.0,"56,7"
162,JOG-AAP,264.0,33866.0,44140.0,59901.0,991.0,"76,7"
163,TKG-HLP,590.0,33370.0,59188.0,2545.0,0.0,"56,4"
164,NTX-BTH,631.0,32833.0,49464.0,203478.0,0.0,"66,4"
165,LOP-JOG,246.0,31666.0,50370.0,32487.0,419.0,"62,9"
166,PNK-JOG,401.0,31639.0,48672.0,222531.0,0.0,"65,0"
167,JOG-BTH,176.0,29552.0,37840.0,169995.0,816.0,"78,1"
168,MKW-DJJ,245.0,29098.0,46167.0,342474.0,0.0,"63,0"
169,YIA-DPS,562.0,28863.0,93760.0,138952.0,16.0,"30,8"
170,SUB-PLM,221.0,28176.0,42066.0,160158.0,1927.0,"67,0"
171,RTI-KOE,652.0,28043.0,46944.0,23360.0,0.0,"59,7"
172,KBU-BDJ,584.0,27650.0,42048.0,43069.0,0.0,"65,8"
173,SRG-BDO,797.0,27477.0,57140.0,72894.0,0.0,"48,1"
174,PSU-PNK,674.0,27467.0,48372.0,10129.0,0.0,"56,8"
175,KJT-DPS,294.0,27128.0,57514.0,18481.0,12.0,"47,2"
176,KNO-FLZ,760.0,26406.0,54484.0,26916.0,0.0,"48,5"
177,SUB-KJT,290.0,26046.0,53550.0,92085.0,652.0,"48,6"
178,PLM-BDO,658.0,26016.0,68994.0,75952.0,0.0,"37,7"
179,MDC-GTO,615.0,25894.0,44280.0,5309.0,0.0,"58,5"
180,TRK-SUB,213.0,25587.0,41349.0,226965.0,710.0,"61,9"
181,TKG-BDO,644.0,25533.0,46136.0,62983.0,0.0,"55,3"
182,UPG-MOF,590.0,25412.0,42362.0,47849.0,0.0,"60,0"
183,NAM-AMQ,620.0,25258.0,44640.0,17339.0,0.0,"56,6"
184,CGK-SMQ,329.0,25233.0,39198.0,503965.0,0.0,"64,4"
185,WNI-KDI,611.0,25073.0,43992.0,33484.0,0.0,"57,0"
186,LBJ-BJW,655.0,24944.0,47160.0,22090.0,0.0,"52,9"
187,CGK-TIM,311.0,24748.0,50994.0,115325.0,1052.0,"48,5"
188,SUB-PKU,199.0,24240.0,40029.0,233430.0,325.0,"60,6"
189,SXK-AMQ,567.0,24035.0,40824.0,45888.0,0.0,"58,9"
190,TIM-DPS,345.0,24027.0,56234.0,552741.0,40084.0,"42,7"
191,YIA-PNK,216.0,23996.0,40824.0,20359.0,10.0,"58,8"
192,UPG-KSR,582.0,23744.0,41724.0,3224.0,0.0,"56,9"
193,UPG-MOH,536.0,23520.0,38592.0,7668.0,0.0,"60,9"
194,SUB-AMQ,188.0,23092.0,36416.0,122505.0,20.0,"63,4"
195,CGK-FLZ,447.0,22728.0,42912.0,139989.0,0.0,"53,0"
196,PLW-LUW,575.0,22073.0,41400.0,3160.0,0.0,"53,3"
197,MOF-DPS,402.0,22053.0,37318.0,108743.0,0.0,"59,1"
198,UPG-BMU,626.0,21942.0,45072.0,14270.0,0.0,"48,7"
199,SUB-BWX,746.0,21869.0,52896.0,19314.0,0.0,"41,3"
200,PGK-BTH,188.0,21839.0,40342.0,21705.0,5.0,"54,1"
201,TIM-NBX,420.0,21206.0,29896.0,15605.0,86.0,"70,9"
202,TMC-ENE,568.0,20825.0,40896.0,24985.0,0.0,"50,9"
203,HLP-BTH,186.0,20702.0,29016.0,58304.0,4453.0,"71,3"
204,SQG-PNK,466.0,20134.0,33548.0,2142.0,0.0,"60,0"
205,HLP-BKS,204.0,20093.0,31824.0,78446.0,0.0,"63,1"
206,YIA-BTH,166.0,20053.0,33844.0,97698.0,0.0,"59,3"
207,SUB-SOQ,183.0,19946.0,28548.0,67968.0,2149.0,"69,9"
208,OKL-DJJ,1293.0,19938.0,31504.0,3264392.0,0.0,"63,3"
209,SRG-PNK,197.0,19635.0,37233.0,134437.0,0.0,"52,7"
210,UPG-PNK,179.0,19537.0,33642.0,29299.0,10.0,"58,1"
211,UPG-LLO,508.0,19514.0,36332.0,53226.0,0.0,"53,7"
212,SUB-KDI,190.0,19325.0,39992.0,74771.0,100.0,"48,3"
213,HLP-AMQ,184.0,19284.0,28704.0,79475.0,1095.0,"67,2"
214,MDC-BPN,202.0,19255.0,38698.0,79996.0,251.0,"49,8"
215,CGK-MKW,194.0,19028.0,30396.0,118954.0,5830.0,"62,6"
216,PKU-BDO,279.0,18938.0,50337.0,516221.0,0.0,"37,6"
217,HLP-AAP,179.0,18922.0,27924.0,0.0,0.0,"67,8"
218,CGK-TRK,171.0,18904.0,32657.0,330081.0,3515.0,"57,9"
219,CGK-SRI,226.0,18867.0,33136.0,45.0,0.0,"56,9"
220,SOQ-AMQ,309.0,18780.0,27864.0,5187.0,0.0,"67,4"
221,BPN-BDO,293.0,18765.0,52983.0,424672.0,0.0,"35,4"
222,CGK-GTO,180.0,18530.0,28080.0,210729.0,6924.0,"66,0"
223,TKG-JOG,204.0,18473.0,33646.0,11008.0,0.0,"54,9"
224,SOC-PNK,244.0,18305.0,28910.0,252314.0,0.0,"63,3"
225,LSW-KNO,396.0,18229.0,28484.0,25846.0,0.0,"64,0"
226,TTE-AMQ,232.0,17802.0,36732.0,11549.0,1054.0,"48,5"
227,KJT-BTH,150.0,17612.0,28350.0,86952.0,20.0,"62,1"
228,DPS-BPN,194.0,17206.0,34920.0,75987.0,0.0,"49,3"
229,CGK-GNS,369.0,16942.0,35424.0,32990.0,0.0,"47,8"
230,SRG-KTG,405.0,16880.0,29106.0,23903.0,0.0,"58,0"
231,PDG-JOG,160.0,16801.0,34400.0,30060.0,280.0,"48,8"
232,SOQ-FKQ,321.0,16721.0,23112.0,40278.0,0.0,"72,3"
233,UPG-RAQ,382.0,16651.0,27504.0,15723.0,0.0,"60,5"
234,YIA-KNO,199.0,16560.0,37677.0,156141.0,0.0,"44,0"
235,TIM-SOQ,157.0,16342.0,29535.0,94123.0,0.0,"55,3"
236,UPG-HLP,177.0,16307.0,27612.0,173416.0,8156.0,"59,1"
237,PLM-DJB,313.0,16274.0,22312.0,2610.0,0.0,"72,9"
238,DPS-BDJ,171.0,16050.0,36765.0,12921.0,2.0,"43,7"
239,SOQ-KNG,313.0,15887.0,22536.0,75867.0,0.0,"70,5"
240,TTE-LAH,379.0,15265.0,27288.0,4929.0,0.0,"55,9"
241,SRG-PLM,200.0,15213.0,35658.0,109690.0,0.0,"42,7"
242,TKG-PLM,389.0,14882.0,27752.0,6080.0,0.0,"53,6"
243,UPG-KOE,311.0,14833.0,31392.0,33636.0,818.0,"47,3"
244,MDC-DPS,170.0,14776.0,36550.0,45703.0,652.0,"40,4"
245,LOP-HLP,175.0,14600.0,28548.0,9793.0,10.0,"51,1"
246,LMU-BTH,354.0,14582.0,25488.0,1296.0,0.0,"57,2"
247,MDC-LUW,407.0,14544.0,29304.0,4163.0,0.0,"49,6"
248,TMH-DJJ,410.0,14025.0,20500.0,28020.0,0.0,"68,4"
249,CGK-BUU,173.0,13241.0,20744.0,79313.0,0.0,"63,8"
250,KJT-BDJ,152.0,13177.0,28754.0,55791.0,1.0,"45,8"
251,SNB-KNO,344.0,12709.0,24768.0,45315.0,0.0,"51,3"
252,Makassar (UPG)-KXB,,,,,,"48,6
52,3"
254,UPG-KBU,398.0,12356.0,28656.0,23158.0,0.0,"43,1"
255,MNA-MDC,287.0,11978.0,20664.0,4038.0,0.0,"58,0"
256,TJS-BPN,308.0,11819.0,22176.0,25078.0,0.0,"53,3"
257,LBJ-KOE,335.0,11678.0,26506.0,25331.0,0.0,"44,1"
258,PGK-JOG,168.0,11586.0,20160.0,19620.0,0.0,"57,5"
259,TRK-LNU,555.0,11520.0,18720.0,653.0,34.0,"61,5"
260,PNK-BPN,100.0,11317.0,18900.0,17776.0,140.0,"59,9"
261,YIA-AAP,190.0,11254.0,31760.0,0.0,2.0,"35,4"
262,PLM-LLJ,284.0,11121.0,20448.0,5509.0,0.0,"54,4"
263,KNO-KJT,132.0,11120.0,28328.0,72116.0,0.0,"39,3"
264,SUB-PLW,102.0,11026.0,19564.0,75862.0,0.0,"56,4"
265,SUB-PDG,128.0,11010.0,27312.0,64598.0,215.0,"40,3"
266,ZRI-DJJ,353.0,10478.0,17650.0,3137.0,0.0,"59,4"
267,PKU-DUM,194.0,10380.0,13968.0,137.0,0.0,"74,3"
268,TJQ-HLP,122.0,10241.0,21960.0,1149.0,0.0,"46,6"
269,RTG-KOE,355.0,10087.0,18520.0,109820.0,0.0,"54,5"
270,MEQ-KNO,,,,,,"57,9
35,9"
272,BEJ-AAP,,,,,,"70,5
48,5"
274,DPS-AAP,153.0,9675.0,23868.0,0.0,0.0,"40,5"
275,PLM-PKU,274.0,9641.0,19728.0,5807.0,0.0,"48,9"
276,KDI-BUW,,,,,,"65,1
69,1"
278,HLP-DJB,124.0,9539.0,22320.0,30028.0,0.0,"42,7"
279,BTW-BDJ,188.0,9249.0,13536.0,77.0,0.0,"68,3"
280,DOB-AMQ,203.0,9175.0,14616.0,42919.0,0.0,"62,8"
281,NBX-MKW,188.0,9173.0,13536.0,6020.0,0.0,"67,8"
282,LUV-DOB,203.0,9106.0,14616.0,45084.0,0.0,"62,3"
283,PLM-PDG,227.0,8944.0,16268.0,493.0,0.0,"55,0"
284,YIA-LOP,99.0,8936.0,21259.0,7008.0,60.0,"42,0"
285,DJB-BUU,178.0,8921.0,12816.0,0.0,0.0,"69,6"
286,PLW-MOH,286.0,8839.0,20592.0,157.0,0.0,"42,9"
287,UPG-LOP,90.0,8776.0,19194.0,5006.0,0.0,"45,7"
288,JIO-AMQ,288.0,8546.0,14400.0,2999.0,0.0,"59,3"
289,DUM-BTH,202.0,8531.0,14544.0,1241.0,0.0,"58,7"
290,PLM-BKS,183.0,8525.0,13172.0,363.0,0.0,"64,7"
291,BDO-BDJ,98.0,8480.0,18522.0,67437.0,0.0,"45,8"
292,YIA-TKG,124.0,8420.0,18626.0,32213.0,0.0,"45,2"
293,KOE-HLP,97.0,8268.0,15132.0,11517.0,0.0,"54,6"
294,Makassar (UPG)-TRT,264.0,8234.0,18844.0,432.0,0.0,"43,7"
295,LNU-BPN,205.0,8096.0,14760.0,3052.0,0.0,"54,9"
296,TTE-SUB,86.0,8095.0,15840.0,32993.0,0.0,"51,1"
297,PKU-PDG,158.0,8095.0,11376.0,508.0,0.0,"71,2"
298,NBX-BIK,198.0,8073.0,13860.0,22307.0,162.0,"58,2"
299,PLM-DPS,162.0,7964.0,16960.0,16963.0,2774.0,"47,0"
300,SMQ-PKN,213.0,7898.0,15336.0,2187.0,0.0,"51,5"
301,UPG-BTW,194.0,7857.0,13968.0,50.0,0.0,"56,3"
302,DTB-BTH,104.0,7809.0,18720.0,8744.0,0.0,"41,7"
303,TNJ-BTH,206.0,7742.0,14832.0,7912.0,0.0,"52,2"
304,LWE-KOE,234.0,7684.0,10998.0,72193.0,0.0,"69,9"
305,PKU-KJT,149.0,7481.0,28161.0,55462.0,0.0,"26,6"
306,NAH-MDC,214.0,7432.0,15408.0,5593.0,0.0,"48,2"
307,TLI-PLW,194.0,7376.0,13968.0,6556.0,0.0,"52,8"
308,PLW-GTO,259.0,7344.0,18648.0,277.0,0.0,"39,4"
309,YIA-PLM,200.0,7319.0,23600.0,37425.0,0.0,"31,0"
310,NRE-AMQ,304.0,7154.0,15200.0,543.0,0.0,"47,1"
311,SMQ-PKY,213.0,7034.0,15336.0,12905.0,0.0,"45,9"
312,GHS-BPN,198.0,6916.0,9504.0,398.0,0.0,"72,8"
313,LOP-LBJ,201.0,6547.0,14472.0,520.0,0.0,"45,2"
314,KNO-DJB,167.0,6544.0,12024.0,4474.0,0.0,"54,4"
315,KNO-AEG,184.0,6435.0,13196.0,4087.0,0.0,"48,8"
316,TRK-NNX,297.0,6381.0,13884.0,734.0,4.0,"46,0"
317,PKY-PKN,,,,,,"59,6
47,8"
319,TXE-KNO,182.0,5945.0,13104.0,40.0,0.0,"45,4"
320,PKU-DJB,170.0,5935.0,12240.0,4972.0,0.0,"48,5"
321,TNJ-PKU,202.0,5910.0,14544.0,13911.0,0.0,"40,6"
322,UPG-PSJ,176.0,5910.0,12672.0,6917.0,0.0,"46,6"
323,TSY-HLP,158.0,5883.0,11376.0,0.0,0.0,"51,7"
324,WMX-DEX,181.0,5881.0,12308.0,64123.0,0.0,"47,8"
325,KNO-DUM,168.0,5825.0,12096.0,0.0,0.0,"48,2"
326,MDC-KAZ,118.0,5673.0,8496.0,5555.0,0.0,"66,8"
327,KRC-BUU,174.0,5629.0,12528.0,0.0,0.0,"44,9"
328,UOL-PLW,,,,,,"50,8
37,7"
330,MJU-BPN,153.0,5370.0,11016.0,81.0,0.0,"48,7"
331,UPG-BDO,68.0,5354.0,12852.0,84409.0,0.0,"41,7"
332,MOF-LBJ,195.0,5323.0,14040.0,2834.0,0.0,"37,9"
333,PDG-DJB,151.0,5216.0,10872.0,3466.0,0.0,"48,0"
334,KNO-DTB,166.0,5033.0,11952.0,1186.0,0.0,"42,1"
335,PDG-BKS,164.0,5000.0,11808.0,514.0,0.0,"42,3"
336,TMH-MKQ,200.0,4954.0,10000.0,10888.0,0.0,"49,5"
337,SOC-PGK,72.0,4863.0,8516.0,9951.0,0.0,"57,1"
338,PDG-GNS,130.0,4703.0,9360.0,88.0,0.0,"50,2"
339,GHS-AAP,127.0,4669.0,6096.0,180.0,0.0,"76,6"
340,BTH-BKS,158.0,4655.0,11376.0,3785.0,0.0,"40,9"
341,TKG-BKS,157.0,4529.0,11304.0,2516.0,0.0,"40,1"
342,TKG-DJB,151.0,4375.0,10872.0,10248.0,0.0,"40,2"
343,NBX-AMQ,98.0,4325.0,7056.0,3715.0,0.0,"61,3"
344,SOC-BDO,150.0,4307.0,10800.0,580.0,0.0,"39,9"
345,DPS-BWX,240.0,4299.0,16800.0,20.0,0.0,"25,6"
346,WMX-TIM,760.0,4000.0,6192.0,5052079.0,0.0,"64,6"
347,CGK-KJT,76.0,3688.0,13680.0,0.0,0.0,"27,0"
348,SUP-SUB,134.0,3562.0,9648.0,6531.0,0.0,"36,9"
349,MLG-DPS,100.0,3091.0,7200.0,16.0,0.0,"42,9"
350,SOQ-NBX,71.0,3074.0,5112.0,792.0,0.0,"60,1"
351,YIA-TRK,52.0,3010.0,9828.0,3979.0,0.0,"30,6"
352,DPS-AMQ,56.0,2787.0,5376.0,13348.0,50.0,"51,8"
353,MDC-AMQ,88.0,2730.0,6336.0,1870.0,0.0,"43,1"
354,SUB-DJJ,28.0,2675.0,5040.0,8908.0,0.0,"53,1"
355,PXA-PLM,96.0,2670.0,6912.0,0.0,0.0,"38,6"
356,UPG-KJT,60.0,2586.0,11340.0,27384.0,0.0,"22,8"
357,MWK-BTH,88.0,2427.0,2816.0,0.0,0.0,"86,2"
358,MKW-KNG,53.0,2362.0,3816.0,2793.0,0.0,"61,9"
359,CGK-BEJ,43.0,2196.0,6714.0,5843.0,5.0,"32,7"
360,MKW-FKQ,,,,,,"58,3
47,8"
362,TNJ-MWK,76.0,2004.0,2432.0,0.0,0.0,"82,4"
363,SUB-SOC,132.0,1967.0,9504.0,5266.0,0.0,"20,7"
364,SQN-AMQ,,,,,,"50,4
49,9"
366,OTI-MDC,62.0,1795.0,4464.0,400.0,0.0,"40,2"
367,TKG-TFY,72.0,1784.0,5184.0,1417.0,0.0,"34,4"
368,SOC-PKY,64.0,1774.0,4608.0,348.0,0.0,"38,5"
369,TIM-LUV,50.0,1660.0,3600.0,2.0,0.0,"46,1"
370,DJB-BDO,64.0,1647.0,4608.0,17.0,0.0,"35,7"
371,UPG-LBJ,57.0,1613.0,3990.0,13059.0,0.0,"40,4"
372,SOC-PLM,38.0,1525.0,4560.0,14030.0,0.0,"33,4"
373,MKQ-KEI,312.0,1520.0,3744.0,6025.0,11.0,"40,6"
374,BKS-BDO,68.0,1476.0,4896.0,2288.0,0.0,"30,1"
375,SRG-SMQ,45.0,1425.0,2148.0,0.0,0.0,"66,3"
376,BDJ-AAP,35.0,1399.0,5600.0,2043.0,0.0,"25,0"
377,TJS-AAP,48.0,1337.0,2304.0,239.0,0.0,"58,0"
378,BEJ-TRK,30.0,1000.0,1440.0,910.0,0.0,"69,4"
379,PKN-JOG,28.0,904.0,1344.0,0.0,0.0,"67,3"
380,MNA-IAX,31.0,792.0,2232.0,255.0,0.0,"35,5"
381,DPS-ARD,24.0,774.0,1728.0,0.0,0.0,"44,8"
382,YIA-PDG,4.0,576.0,860.0,0.0,0.0,"67,0"
383,SAU-KOE,167.0,515.0,2004.0,1160.0,0.0,"25,7"
384,BWX-BDO,32.0,484.0,2304.0,51.0,0.0,"21,0"
385,HLP-CJN,232.0,452.0,2784.0,611.0,25.0,"16,2"
386,UPG-OJU,12.0,308.0,840.0,0.0,0.0,"36,7"
387,HLP-CXP,137.0,241.0,1644.0,76.0,1.0,"14,7"
388,SOQ-NTI,75.0,167.0,900.0,114.0,0.0,"18,6"
389,TJQ-BDO,4.0,99.0,288.0,0.0,0.0,"34,4"
390,TRK-TJS,185.0,33.0,2220.0,1360.0,15.0,"1,5"
391,NTI-MKW,74.0,20.0,888.0,236.0,2.0,"2,3"
392,PNK-PKY,7.0,0.0,0.0,17681.0,0.0,"0,0"
393,TIM-MDC,0.0,0.0,0.0,0.0,0.0,"0,0"
394,MKW-BIK,0.0,0.0,0.0,0.0,0.0,"0,0"
395,PDG-BPN,0.0,0.0,0.0,0.0,0.0,"0,0"
396,SOC-AAP,0.0,0.0,0.0,0.0,0.0,"0,0"
397,PKN-BDJ,0.0,0.0,0.0,0.0,0.0,"0,0"
398,YIA-DJB,0.0,0.0,0.0,0.0,0.0,"0,0"
399,SOC-BPN,0.0,0.0,0.0,0.0,0.0,"0,0"
400,SMQ-BDJ,0.0,0.0,0.0,0.0,0.0,"0,0"
401,LOP-KJT,0.0,0.0,0.0,0.0,0.0,"0,0"
402,PGK-BDO,0.0,0.0,0.0,0.0,0.0,"0,0"
403,MDC-GLX,0.0,0.0,0.0,0.0,0.0,"0,0"
404,PLW-OJU,0.0,0.0,0.0,0.0,0.0,"0,0"
405,SUB-KNO,0.0,0.0,0.0,0.0,0.0,"0,0"
406,PLM-BUU,0.0,0.0,0.0,0.0,0.0,"0,0"
